affection.n 8 :: affectation ; reconnaissance ; considération ; tendresse ; disposition ; dernier ; admiration ; influence ; appréciation ; maladie
montée.n 75 :: descente ; monte ; balade ; suite ; ascension ; journée ; visite ; chute ; entrée ; poussée
montée.n 138 :: performance ; évolution ; hausse ; gestion ; capacité ; complexité ; croissance ; croissant ; progression ; puissance
montée.n 141 :: descente ; courbe ; monte ; poussée ; progression ; hausse ; pente ; dégradation ; fonte ; transformation
montée.n 153 :: descente ; pente ; chute ; monte ; côte ; ascension ; montagne ; suite ; grimper ; douleur
montée.n 189 :: vie ; visite ; sécurité ; randonnée ; conduite ; promenade ; croissance ; natation ; baignade ; descente
montée.n 194 :: protection ; promotion ; société ; réduction ; suspension ; présentation ; baisse ; législation ; technique ; gestion
montée.n 250 :: suite ; descente ; chute ; veille ; fin ; plupart ; route ; vie ; baisse ; fatigue
montée.n 285 :: poussée ; évolution ; tendance ; croissance ; ascension ; progression ; politique ; croissant ; dérive ; richesse
obscur.a 22 :: étrange ; confus ; mystérieux ; paradoxal ; bizarre ; curieux ; énigmatique ; absurde ; opaque ; sombre
obscur.a 43 :: sombre ; cacher ; couvert ; souterrain ; noir ; nocturne ; profond ; enfouir ; secret ; géologique
obscur.a 61 :: sombre ; opposer ; côté ; cacher ; jour ; américain ; profond ; inverse ; verser ; impérial
obscur.a 74 :: sombre ; déserte ; incertain ; noir ; interdire ; muet ; cacher ; allée ; éclairer ; aveugle
obscur.a 95 :: sombre ; noble ; inconnu ; honteux ; puissant ; discret ; noir ; petit ; fort ; malheureux
obscur.a 165 :: flou ; passer ; limité ; étonnant ; juste ; gratuit ; évident ; important ; opaque ; vague
obscur.a 247 :: hermétique ; sombre ; inutile ; opaque ; aride ; incertain ; confus ; incompréhensible ; austère ; abstraire
obscur.a 255 :: mystérieux ; opaque ; secret ; sombre ; hermétique ; énigmatique ; mystère ; énigme ; profond ; cacher
obscur.a 284 :: illisible ; confus ; opaque ; incompréhensible ; incertain ; limpide ; intéressant ; écrire ; sombre ; hermétique
obscur.a 295 :: sombre ; inconnu ; mystérieux ; noir ; confus ; opaque ; ténébreux ; profond ; lumineux ; transparent
riche.a 31 :: haut ; important ; formidable ; réel ; vaste ; vrai ; enrichissant ; grand ; fort ; large
riche.a 46 :: complexe ; charger ; intéressant ; diversifier ; enrichissant ; développer ; visiter ; enrichir ; important ; dense
riche.a 49 :: complexe ; dense ; enrichir ; fort ; religieux ; large ; complet ; enrichissant ; charger ; vivant
riche.a 102 :: fortuné ; pauvre ; enrichi ; heureux ; aisé ; privilégier ; généreux ; grand ; chanceux ; milliardaire
riche.a 118 :: développer ; pauvre ; industrialisé ; excédentaire ; producteur ; enrichi ; malade ; créancier ; clé ; climatique
riche.a 209 :: charger ; régulier ; enrichir ; haut ; généreux ; fournir ; complexe ; complet ; prolifique ; maigre
riche.a 222 :: grand ; bel ; ancien ; nombreux ; prospère ; bon ; important ; puissant ; vieux ; célèbre
riche.a 293 :: enrichir ; charger ; complexe ; fort ; développer ; intense ; rée ; marquer ; généreux ; concentrer
riche.a 294 :: enrichir ; fort ; charger ; enrichissant ; bel ; nourrir ; faire ; lumineux ; intéressant ; naître
riche.a 296 :: prolifique ; fournir ; charger ; fertile ; haut ; intense ; fort ; marquer ; avare ; lourd
taper.v 28 :: tape ; tas ; bouffe ; kick ; gros ; shooter ; chie ; plein ; chier ; coup
taper.v 34 :: frappe ; appuyer ; touche ; clique ; travailler ; cherche ; joue ; trouver ; lancer ; composer
taper.v 76 :: donne ; réserve ; donner ; passer ; laisse ; paie ; faire ; payer ; classe ; proposer
taper.v 82 :: cogne ; colle ; battre ; trouver ; payer ; prendre ; cote ; lancer ; frappe ; plante
taper.v 83 :: savoir ; travailler ; continuer ; croire ; répondre ; cherche ; persist ; dire ; demande ; trouver
taper.v 182 :: frappe ; donne ; écrire ; composer ; cher ; lit ; dicter ; répéter ; travailler ; place
taper.v 221 :: frappe ; cogne ; coup ; tas ; frapper ; donne ; colle ; touche ; sec ; face
taper.v 237 :: utiliser ; obtenir ; choisir ; trouver ; place ; retrouver ; enregistrer ; récupérer ; découvrir ; recevoir
taper.v 249 :: colle ; frappe ; danse ; pose ; rentrer ; piqu ; cote ; file ; appuyer ; place
taper.v 259 :: noter ; saisir ; ajouter ; utiliser ; inscrire ; voir ; compléter ; définir ; écrire ; modifier
vaisseau.n 68 :: emplacement ; projet ; navire ; plan ; système ; bâtiment ; domaine ; station ; groupe ; parc
vaisseau.n 91 :: navire ; corps ; transport ; tête ; table ; bras ; fonction ; machine ; système ; point
vaisseau.n 104 :: film ; cinéma ; système ; monde ; groupe ; théâtre ; pays ; roman ; lycée ; gouvernement
vaisseau.n 122 :: petit ; logement ; article ; vase ; moyen ; fort ; service ; innombrable ; rocher ; miroir
vaisseau.n 190 :: navire ; véhicule ; module ; voyage ; guide ; sac ; programme ; livre ; matériel ; plan
vaisseau.n 193 :: artère ; cellule ; valve ; organe ; muscle ; connexion ; structure ; capteur ; anticorp ; canal
vaisseau.n 238 :: article ; produit ; joueur ; équipement ; ouvrage ; personnage ; être ; projet ; objet ; effet
vaisseau.n 256 :: dernier ; sanguin ; produit ; cellulaire ; capillaire ; organe ; participant ; prochain ; premier ; nouveau
vaisseau.n 270 :: navire ; bateau ; véhicule ; bâtiment ; voilier ; conteneur ; yacht ; paquebot ; objet ; engin
vaisseau.n 274 :: navire ; véhicule ; groupe ; système ; corps ; engin ; pilote ; temps ; croiseur ; destin
vaseux.a 3 :: bidon ; plat ; faux ; douteux ; cul ; bof ; superficiel ; vaguement ; franchement ; moyennement
vaseux.a 4 :: voire ; entrer ; aller ; doux ; faux ; mauvais ; gros ; extrêmement ; fin ; bon
vaseux.a 40 :: profond ; plat ; sous-marin ; rocheux ; meuble ; creux ; humide ; fonds ; marin ; calcaire
vaseux.a 53 :: déjà ; géologique ; autonome ; renouvelable ; fort ; meuble ; futur ; rocheux ; humide ; calcaire
vaseux.a 62 :: incertain ; joyeux ; aqueux ; légèrement ; douteux ; léger ; journalistique ; vague ; politique ; brute
vaseux.a 92 :: profond ; léger ; frais ; entrer ; petit ; doux ; varier ; fin ; bon ; fort
vaseux.a 112 :: mal ; mauvais ; lent ; fatiguer ; gros ; nerveux ; malade ; bouché ; douloureux ; bon
vaseux.a 124 :: aller ; petit ; bon ; fort ; excellent ; certainement ; presque ; extrêmement ; don ; nouveau
vaseux.a 216 :: voire ; superficiel ; lourd ; faux ; grossier ; bon ; facile ; purement ; petit ; long
vaseux.a 288 :: personnel ; participation ; information ; professionnel ; politique ; internet ; complémentaire ; collectif ; renseignement ; supplémentaire
