affection.n 8 :: disposition ; occasion ; maladie ; dernier ; considération ; institution ; époque ; extrémité ; opération ; affectation
montée.n 75 :: monte ; descente ; suite ; balade ; ascension ; face ; entrée ; grâce ; chute ; journée
montée.n 138 :: gestion ; performance ; évolution ; hausse ; complexité ; poussée ; progression ; croissance ; monte ; puissance
montée.n 141 :: descente ; monte ; progression ; courbe ; poussée ; transformation ; hausse ; dégradation ; croissance ; fonte
montée.n 153 :: pente ; descente ; monte ; côte ; douleur ; ascension ; chute ; route ; randonnée ; progression
montée.n 189 :: vie ; descente ; sécurité ; conduite ; progression ; visite ; lecture ; randonnée ; pratique ; croissance
montée.n 194 :: promotion ; fin ; réalisation ; vérité ; révélation ; progression ; présentation ; chose ; construction ; venir
montée.n 250 :: suite ; descente ; veille ; chute ; côte ; montagne ; route ; journée ; plupart ; baisse
montée.n 285 :: poussée ; ascension ; tendance ; croissance ; évolution ; progression ; développement ; accession ; conversion ; politique
obscur.a 22 :: confus ; étrange ; mystérieux ; profond ; ridicule ; absurde ; bizarre ; paradoxal ; honteux ; vain
obscur.a 43 :: sombre ; cacher ; souterrain ; noir ; secret ; mystérieux ; enfouir ; couvert ; nocturne ; profond
obscur.a 61 :: sombre ; opposer ; côté ; adverse ; américain ; profond ; coté ; officiel ; indien ; ordre
obscur.a 74 :: sombre ; déserte ; noir ; muet ; incertain ; aveugle ; interdire ; close ; cacher ; silencieux
obscur.a 95 :: inconnu ; sombre ; noir ; honteux ; ignorer ; noble ; discret ; fort ; petit ; invisible
obscur.a 165 :: flou ; opaque ; juste ; passer ; limité ; secret ; faible ; étonnant ; important ; évident
obscur.a 247 :: hermétique ; sombre ; opaque ; incertain ; abstraire ; occulte ; secret ; étranger ; incompréhensible ; inutile
obscur.a 255 :: secret ; mystérieux ; sombre ; opaque ; incertain ; énigme ; hermétique ; mystère ; flou ; inconnu
obscur.a 284 :: confus ; opaque ; incertain ; limpide ; sombre ; illisible ; intéressant ; inconnu ; incompréhensible ; hermétique
obscur.a 295 :: sombre ; noir ; inconnu ; opaque ; transparent ; ténébreux ; profond ; mystérieux ; nocturne ; confus
riche.a 31 :: haut ; enrichissant ; important ; formidable ; fort ; réel ; précieux ; prolifique ; magnifique ; développer
riche.a 46 :: complexe ; charger ; enrichissant ; diversifier ; développer ; enrichir ; important ; intéressant ; marquer ; visiter
riche.a 49 :: dense ; enrichir ; complexe ; complet ; charger ; large ; fort ; enrichissant ; lourd ; détailler
riche.a 102 :: fortuné ; enrichi ; heureux ; privilégier ; pauvre ; aisé ; généreux ; grand ; milliardaire ; sportif
riche.a 118 :: pauvre ; développer ; industrialisé ; faible ; producteur ; excédentaire ; avancé ; occidental ; viser ; concerner
riche.a 209 :: charger ; régulier ; haut ; enrichir ; complexe ; fournir ; complet ; maigre ; nourrir ; généreux
riche.a 222 :: grand ; bel ; prospère ; bon ; important ; ancien ; nombreux ; fort ; puissant ; célèbre
riche.a 293 :: enrichir ; charger ; complexe ; fort ; développer ; rée ; marquer ; teneur ; généreux ; renforcer
riche.a 294 :: enrichir ; fort ; charger ; enrichissant ; remplir ; fécond ; accompagner ; marquer ; révélateur ; porteur
riche.a 296 :: charger ; prolifique ; fournir ; haut ; fort ; dense ; intense ; fertile ; marquer ; lourd
taper.v 28 :: tape ; tas ; bouffe ; plein ; chier ; chie ; coup ; gros ; foutre ; tirer
taper.v 34 :: frappe ; touche ; appuyer ; travailler ; clique ; cherche ; trouver ; dire ; recherche ; repose
taper.v 76 :: donne ; paie ; passer ; payer ; réserve ; trouver ; donner ; faire ; classe ; tenir
taper.v 82 :: colle ; cogne ; battre ; trouver ; payer ; frappe ; paie ; prendre ; vouloir ; balance
taper.v 83 :: savoir ; cherche ; dire ; travailler ; connaître ; continuer ; répondre ; marque ; répéter ; comprendre
taper.v 182 :: frappe ; donne ; place ; composer ; lit ; cher ; travailler ; dicter ; écrire ; imprimer
taper.v 221 :: frappe ; touche ; cogne ; attaque ; piqu ; casser ; taire ; baisse ; cible ; écraser
taper.v 237 :: composer ; place ; utiliser ; choisir ; enregistrer ; obtenir ; trouver ; saisir ; passer ; valide
taper.v 249 :: frappe ; danse ; colle ; appuyer ; donne ; pile ; touche ; claque ; cher ; cogne
taper.v 259 :: noter ; saisir ; inscrire ; ajouter ; utiliser ; compléter ; entrer ; voir ; modifier ; écrire
vaisseau.n 68 :: navire ; bateau ; conteneur ; système ; plan ; station ; voyage ; bâtiment ; sujet ; emplacement
vaisseau.n 91 :: navire ; construction ; corps ; transport ; bâtiment ; organe ; ligne ; objet ; rocher ; article
vaisseau.n 104 :: monde ; navire ; futur ; film ; système ; lycée ; groupe ; fleuve ; gouvernement ; peuple
vaisseau.n 122 :: petit ; logement ; moyen ; article ; service ; organisme ; corps ; château ; miroir ; vase
vaisseau.n 190 :: véhicule ; navire ; module ; programme ; voyage ; corps ; sac ; système ; centre ; engin
vaisseau.n 193 :: artère ; valve ; cellule ; canal ; organe ; connexion ; capteur ; muscle ; capillaire ; élément
vaisseau.n 238 :: article ; joueur ; équipement ; produit ; objet ; personnage ; ouvrage ; projet ; navire ; effet
vaisseau.n 256 :: dernier ; produit ; sanguin ; organe ; cellulaire ; véhicule ; participant ; artère ; capillaire ; muscle
vaisseau.n 270 :: navire ; bateau ; véhicule ; conteneur ; bâtiment ; paquebot ; voilier ; pétrolier ; avion ; engin
vaisseau.n 274 :: navire ; véhicule ; bateau ; module ; corps ; croiseur ; engin ; groupe ; butin ; peuple
vaseux.a 3 :: superficiel ; douteux ; bidon ; plat ; cul ; facile ; catastrophe ; vite ; franchement ; pareil
vaseux.a 4 :: voire ; entrer ; plat ; purement ; confus ; aller ; gros ; sale ; grossier ; douteux
vaseux.a 40 :: plat ; profond ; sous-marin ; meuble ; fonds ; marin ; rocheux ; étroit ; humide ; creux
vaseux.a 53 :: meuble ; fort ; calcaire ; géologique ; organique ; rocheux ; humide ; déjà ; extrêmement ; minéral
vaseux.a 62 :: léger ; obscur ; légèrement ; joyeux ; incertain ; aqueux ; superficiel ; sombre ; morose ; politique
vaseux.a 92 :: profond ; propre ; superficiel ; frais ; petit ; doux ; navigable ; mort ; tranquille ; lointainer
vaseux.a 112 :: bouché ; gras ; mal ; gros ; malade ; propre ; mauvais ; fatiguer ; partout ; vite
vaseux.a 124 :: bon ; aller ; excellent ; fort ; petit ; pays ; mauvais ; également ; jeune ; compte
vaseux.a 216 :: superficiel ; creux ; douteux ; plat ; sembler ; vain ; bidon ; vague ; faux ; bas
vaseux.a 288 :: participation ; personnel ; surprenant ; consommation ; prochain ; internet ; professionnel ; promotionnel ; communication ; information
