affection.n 8 :: occasion ; institution ; disposition ; maladie ; observation ; opération ; association ; dernier ; affectation ; exposition
montée.n 153 :: pente ; descente ; chute ; douleur ; vie ; route ; victoire ; monte ; chaleur ; côte
montée.n 189 :: vie ; conduite ; lecture ; visite ; croissance ; culture ; baignade ; pratique ; natation ; sécurité
montée.n 194 :: promotion ; révélation ; réalité ; fin ; chose ; vérité ; tomber ; venir ; disposition ; conséquence
montée.n 250 :: côte ; descente ; poussée ; suite ; voyage ; ascension ; journée ; visite ; tour ; série
montée.n 285 :: croissance ; participation ; évolution ; formation ; puissance ; progression ; poussée ; association ; conduite ; recherche
obscur.a 22 :: ridicule ; étrange ; paradoxal ; absurde ; bizarre ; curieux ; merveilleux ; confus ; fâcheux ; puissant
obscur.a 43 :: sombre ; mystérieux ; noir ; gris ; naturel ; nocturne ; vert ; souterrain ; cacher ; humide
obscur.a 61 :: sombre ; opposer ; ennemi ; américain ; humain ; adverse ; rebelle ; invisible ; côté ; officiel
obscur.a 74 :: sombre ; déserte ; profond ; muet ; allée ; ignorer ; noir ; incertain ; silencieux ; limpide
obscur.a 95 :: profond ; sombre ; inconscient ; puits ; fort ; humain ; brut ; mystérieux ; souterrain ; descendre
obscur.a 165 :: vue ; flou ; juste ; tenue ; limité ; opaque ; passer ; table ; clair ; magique
obscur.a 247 :: sombre ; hermétique ; aride ; opaque ; abstraire ; étranger ; profond ; occulte ; incertain ; incompréhensible
obscur.a 255 :: secret ; mystérieux ; sombre ; hermétique ; opaque ; flou ; cacher ; profond ; énigmatique ; incertain
obscur.a 284 :: confus ; incompréhensible ; compliqué ; illisible ; hermétique ; sombre ; opaque ; complexe ; élaborer ; évident
obscur.a 295 :: sombre ; noir ; confus ; profond ; mystérieux ; transparent ; ténébreux ; étroit ; vert ; doré
riche.a 31 :: fort ; enrichissant ; patrimoine ; développer ; important ; ample ; vaste ; diversifier ; site ; précieux
riche.a 46 :: complexe ; enrichissant ; diversifier ; charger ; développer ; visiter ; intéressant ; magnifique ; marquer ; minéral
riche.a 49 :: patrimoine ; matière ; collection ; variété ; contenu ; ensemble ; information ; complexe ; contenir ; déjà
riche.a 102 :: heureux ; enrichi ; grand ; vraiment ; pauvre ; petit ; vrai ; français ; beal ; politique
riche.a 118 :: développer ; industrialisé ; pauvre ; malade ; tiers ; excédentaire ; producteur ; faible ; viser ; fort
riche.a 209 :: charger ; enrichir ; fournir ; haut ; complexe ; prolifique ; complet ; régulier ; nourrir ; fort
riche.a 222 :: grand ; bel ; ancien ; bon ; puissant ; important ; prospère ; nombreux ; vieux ; petit
riche.a 293 :: enrichir ; charger ; fort ; complexe ; généreux ; nourrir ; développer ; rée ; habiller ; régulier
riche.a 294 :: fort ; enrichir ; enrichissant ; charger ; fécond ; révélateur ; remplir ; porteur ; accompagner ; génératrice
riche.a 296 :: prolifique ; fournir ; charger ; haut ; marquer ; fertile ; dense ; enrichissant ; fort ; intense
taper.v 28 :: tape ; bouffe ; chie ; tirer ; chier ; plein ; foutre ; gros ; tas ; prendre
taper.v 34 :: frappe ; touche ; appuyer ; relance ; cadre ; colle ; balance ; frapper ; place ; copie
taper.v 76 :: passer ; donne ; réserve ; paie ; trouver ; tenir ; payer ; laisse ; compte ; faire
taper.v 82 :: colle ; cogne ; prendre ; payer ; trouver ; battre ; frappe ; donne ; lancer ; balance
taper.v 83 :: compte ; présente ; trouver ; travailler ; donne ; savoir ; passer ; présent ; connaître ; comprendre
taper.v 182 :: donne ; frappe ; joue ; pose ; montre ; expliquer ; présente ; place ; prendre ; écoute
taper.v 221 :: frappe ; taire ; attaque ; distance ; touche ; piqu ; attirer ; cible ; déplacer ; baisse
taper.v 237 :: utiliser ; retrouver ; recevoir ; trouver ; obtenir ; donne ; enregistrer ; récupérer ; posséder ; passer
taper.v 249 :: colle ; frappe ; appuyer ; danse ; cogne ; camper ; claque ; rentrer ; cher ; fond
taper.v 259 :: noter ; utiliser ; ajouter ; inscrire ; saisir ; compléter ; enregistrer ; voir ; consulter ; comprendre
vaisseau.n 68 :: système ; navire ; bateau ; groupe ; aéronef ; hélicoptère ; véhicule ; bâtiment ; dispositif ; endroit
vaisseau.n 91 :: esprit ; navire ; enfant ; homme ; transport ; lèvre ; montagne ; personnage ; finance ; ligne
vaisseau.n 104 :: film ; cinéma ; roman ; futur ; monde ; soleil ; château ; magazine ; code ; théâtre
vaisseau.n 122 :: petit ; service ; article ; moyen ; commerce ; organisme ; construction ; logement ; ouvrage ; miroir
vaisseau.n 190 :: module ; sac ; programme ; matériel ; corps ; disque ; système ; plan ; dispositif ; bagage
vaisseau.n 193 :: organe ; instrument ; article ; système ; élément ; produit ; composant ; ouvrage ; transport ; contrôle
vaisseau.n 238 :: personnage ; article ; joueur ; produit ; être ; ouvrage ; compagnon ; fils ; objet ; acteur
vaisseau.n 256 :: dernier ; produit ; organe ; véhicule ; cellulaire ; participant ; mécanisme ; constituant ; sanguin ; système
vaisseau.n 270 :: navire ; bateau ; bâtiment ; véhicule ; appareil ; engin ; objet ; cargo ; temps ; être
vaisseau.n 274 :: navire ; engin ; croiseur ; système ; corps ; plan ; véhicule ; module ; groupe ; empire
vaseux.a 3 :: doux ; bon ; voire ; faire ; douteux ; propre ; long ; léger ; pis ; légèrement
vaseux.a 4 :: entrer ; abstraire ; confus ; mystérieux ; simple ; exister ; censé ; circuler ; théorique ; empirique
vaseux.a 40 :: doux ; aller ; bon ; bas ; sec ; entrer ; loin ; profond ; creux ; voire
vaseux.a 53 :: intermédiaire ; bancaire ; propre ; externe ; international ; autonome ; nucléaire ; spécial ; interne ; social
vaseux.a 62 :: aqueux ; pal ; incertain ; rivière ; flotter ; presque ; tantôt ; jaune ; chinois ; trompeur
vaseux.a 92 :: couche ; alliance ; pays ; relation ; montagne ; aille ; populaire ; gorge ; être ; chambre
vaseux.a 112 :: manuel ; marier ; hollande ; roi ; joseph ; venir ; richard ; portugais ; jean ; voyage
vaseux.a 124 :: marier ; nouveau ; jean ; manuel ; voir ; max ; oui ; aller ; os ; dernier
vaseux.a 216 :: long ; lourd ; douteux ; faux ; grossier ; voire ; creux ; superficiel ; profond ; fort
vaseux.a 288 :: information ; nouveau ; entreprise ; personne ; meilleur ; prochain ; acheter ; petit ; accessoire ; produit
