affection.n 8 :: influence ; maladie ; attaque ; épreuve ; habitude ; fatalité ; disposition ; conclusion ; catastrophe ; dernier
montée.n 153 :: descente ; pente ; douleur ; monte ; progression ; ascension ; côte ; chute ; montagne ; journée
montée.n 189 :: vie ; conduite ; lecture ; croissance ; baignade ; pratique ; visite ; randonnée ; natation ; tâche
montée.n 194 :: promotion ; présentation ; descente ; propriété ; législation ; disponibilité ; réalisation ; déclaration ; progression ; tomber
montée.n 250 :: descente ; suite ; progression ; côte ; chute ; poussée ; continuer ; ascension ; courbe ; monte
montée.n 285 :: évolution ; augmentation ; croissance ; tendance ; ascension ; concentration ; descente ; conversion ; formation ; élévation
obscur.a 22 :: honteux ; incompréhensible ; clair ; cacher ; ignorer ; confus ; sombre ; paradoxal ; peut-être ; exact
obscur.a 43 :: sombre ; public ; clair ; particulier ; souterrain ; industriel ; système ; naturel ; lumineux ; cacher
obscur.a 61 :: ami ; rebelle ; ennemi ; conseil ; membre ; devenir ; clan ; ancien ; sombre ; yen
obscur.a 74 :: déserte ; sombre ; muet ; silencieux ; close ; profond ; noir ; allée ; cacher ; interdire
obscur.a 95 :: sombre ; inconnu ; noble ; puissant ; profond ; supérieur ; éminer ; modeste ; lointain ; glorieux
obscur.a 165 :: important ; gratuit ; juste ; logique ; limité ; puissant ; réel ; obligatoire ; profond ; transparent
obscur.a 247 :: hermétique ; abstraire ; aride ; sombre ; opaque ; secret ; mou ; occulte ; incertain ; confus
obscur.a 255 :: mystérieux ; secret ; sombre ; opaque ; énigmatique ; hermétique ; cacher ; incertain ; inconnu ; flou
obscur.a 284 :: confus ; sombre ; incertain ; établir ; inquiétant ; compliqué ; avancer ; abstraire ; élaborer ; mystérieux
obscur.a 295 :: noir ; sombre ; bleu ; mystérieux ; silencieux ; inconnu ; noyer ; profond ; opaque ; pur
riche.a 31 :: patrimoine ; pays ; programme ; développement ; culturel ; héritage ; déjà ; espace ; également ; contenu
riche.a 46 :: complexe ; diversifier ; développer ; fertile ; prolifique ; charger ; marquer ; réussir ; intéressant ; intense
riche.a 49 :: enrichir ; généreux ; large ; enrichissant ; dense ; artistique ; éclectique ; musical ; colorer ; complet
riche.a 102 :: enrichi ; fortuné ; pauvre ; milliardaire ; heureux ; français ; privilégier ; russe ; aisé ; blanc
riche.a 118 :: pauvre ; développer ; industrialisé ; excédentaire ; enrichi ; avancé ; faible ; fortuné ; pays ; aisé
riche.a 209 :: enrichir ; fort ; complexe ; charger ; teneur ; léger ; dense ; régime ; équilibré ; gras
riche.a 222 :: famille ; aristocratie ; empire ; noblesse ; puissant ; cité ; ancien ; héritier ; héritage ; patrimoine
riche.a 293 :: fort ; enrichir ; complexe ; charger ; teneur ; concentrer ; profond ; intense ; présente ; intensément
riche.a 294 :: enrichir ; enrichissant ; charger ; dense ; profond ; précieux ; fécond ; remplir ; fort ; faire
riche.a 296 :: prolifique ; largement ; déjà ; fournir ; également ; dense ; contenu ; fort ; extrêmement ; charger
taper.v 28 :: tape ; tirer ; chier ; faire ; tire ; chie ; foutre ; plein ; gros ; chiqu
taper.v 34 :: frappe ; lancer ; cher ; composer ; force ; gagner ; finir ; joue ; mise ; repose
taper.v 76 :: société ; conseil ; pierre ; compagnie ; porte ; nom ; marque ; saint ; entreprise ; service
taper.v 82 :: colle ; cogne ; vouloir ; claque ; paie ; payer ; prendre ; passer ; greffe ; frappe
taper.v 83 :: savoir ; dire ; travailler ; marque ; croire ; comprendre ; persist ; continuer ; cherche ; connaître
taper.v 182 :: place ; donne ; apprendre ; lit ; écrire ; exécuter ; cher ; pose ; décrire ; frappe
taper.v 221 :: frappe ; touche ; piqu ; fou ; cogne ; taire ; attaque ; chasse ; cible ; casser
taper.v 237 :: utiliser ; trouver ; choisir ; retrouver ; obtenir ; enregistrer ; posséder ; garde ; place ; ajouter
taper.v 249 :: frappe ; claque ; appuyer ; file ; fond ; arriver ; pile ; colle ; sourire ; regarde
taper.v 259 :: noter ; consulter ; saisir ; utiliser ; voir ; inscrire ; ajouter ; lire ; compléter ; faire
vaisseau.n 68 :: bateau ; navire ; station ; module ; conteneur ; bâtiment ; système ; véhicule ; tunnel ; plan
vaisseau.n 91 :: navire ; relation ; ligne ; chose ; montagne ; vin ; procédé ; surface ; âme ; esprit
vaisseau.n 104 :: film ; cinéma ; roman ; code ; monde ; empire ; système ; projet ; lycée ; théâtre
vaisseau.n 122 :: service ; organisme ; vase ; détail ; logement ; château ; commerce ; rocher ; moyen ; article
vaisseau.n 190 :: navire ; module ; véhicule ; disque ; plan ; corps ; sac ; dispositif ; vase ; pavillon
vaisseau.n 193 :: valve ; artère ; cellule ; muscle ; organe ; anticorp ; structure ; injection ; greffe ; battement
vaisseau.n 238 :: article ; joueur ; produit ; équipement ; ouvrage ; personnage ; objet ; être ; projet ; compagnon
vaisseau.n 256 :: dernier ; produit ; organe ; sanguin ; effet ; participant ; taux ; système ; membre ; résultat
vaisseau.n 270 :: navire ; voilier ; aéronef ; bateau ; équipement ; sombrer ; armateur ; véhicule ; parer ; capitaine
vaisseau.n 274 :: véhicule ; virus ; monde ; navire ; pouvoir ; groupe ; duo ; plan ; système ; lancer
vaseux.a 3 :: bof ; gras ; douteux ; bon ; propre ; fort ; moyennement ; cul ; légèrement ; superficiel
vaseux.a 4 :: gras ; mystérieux ; coller ; mouiller ; lier ; sale ; doux ; entrer ; sérieux ; surprendre
vaseux.a 40 :: plat ; profond ; humide ; étroit ; rocheux ; sous-marin ; creux ; aqueux ; meuble ; propre
vaseux.a 53 :: géologique ; calcaire ; meuble ; extrêmement ; fertile ; montagneux ; rocheux ; fort ; organique ; minéral
vaseux.a 62 :: aqueux ; pal ; rosé ; humide ; morose ; obscur ; incertain ; gris ; léger ; mélancolique
vaseux.a 92 :: long ; petit ; aller ; bon ; profond ; court ; voir ; haut ; grand ; propre
vaseux.a 112 :: lent ; grave ; nerveux ; fort ; moyen ; propre ; simple ; généralement ; légèrement ; in
vaseux.a 124 :: marier ; loin ; aller ; or ; verso ; oui ; face ; in ; blanc ; porto
vaseux.a 216 :: faux ; douteux ; vain ; juger ; lourd ; sembler ; comparaison ; voire ; forcément ; polémique
vaseux.a 288 :: prochain ; dernier ; meilleur ; personne ; nouveau ; information ; personnel ; publication ; produit ; professionnel
