affection.n 8 :: maladie ; dernier ; institution ; famille ; amitié ; mort ; affectation ; adoption ; occasion ; opinion
montée.n 141 :: descente ; monte ; poussée ; courbe ; hausse ; progression ; chute ; transformation ; dégradation ; dérive
montée.n 153 :: côte ; descente ; montagne ; pente ; chute ; chaîne ; corde ; performance ; suite ; saison
montée.n 189 :: construction ; vie ; randonnée ; lecture ; croissance ; visite ; descente ; pratique ; promenade ; progression
montée.n 194 :: promotion ; législation ; défense ; protection ; déclaration ; société ; veille ; présentation ; culture ; propriété
montée.n 250 :: descente ; suite ; veille ; chute ; dernier ; fin ; plupart ; route ; côte ; poussée
montée.n 285 :: évolution ; tendance ; ascension ; puissance ; poussée ; progressif ; croissance ; conduite ; formation ; augmentation
obscur.a 22 :: profond ; sombre ; confus ; mystérieux ; lointain ; opaque ; incomplet ; muet ; inconnu ; paradoxal
obscur.a 43 :: sombre ; mystérieux ; souterrain ; cacher ; secret ; nocturne ; froid ; noir ; discret ; enfouir
obscur.a 61 :: sombre ; côté ; devenir ; rebelle ; us ; ennemi ; mystérieux ; empire ; invisible ; galactique
obscur.a 74 :: sombre ; déserte ; noir ; interdire ; close ; inconnu ; muet ; tranquille ; infini ; silencieux
obscur.a 95 :: jeune ; inconnu ; petit ; homme ; sombre ; noble ; vivant ; grand ; heureux ; discret
obscur.a 165 :: juste ; limité ; secret ; gratuit ; flou ; magique ; nécessaire ; faire ; voler ; obligatoire
obscur.a 247 :: sombre ; hermétique ; muet ; cacher ; froid ; aride ; profond ; secret ; opaque ; sec
obscur.a 255 :: mystérieux ; secret ; sombre ; opaque ; hermétique ; incertain ; cacher ; étrange ; énigmatique ; inconnu
obscur.a 284 :: confus ; inquiétant ; intéressant ; mystérieux ; sombre ; opaque ; abstraire ; illisible ; hermétique ; énigmatique
obscur.a 295 :: sombre ; noir ; opaque ; transparent ; inconnu ; bleu ; ténébreux ; profond ; pur ; nocturne
riche.a 31 :: haut ; magnifique ; formidable ; fort ; enrichissant ; fertile ; important ; prolifique ; réel ; patrimoine
riche.a 46 :: complexe ; diversifier ; enrichissant ; minéral ; intense ; patrimoine ; enrichir ; marquer ; développer ; important
riche.a 49 :: matière ; variété ; patrimoine ; déjà ; fois ; contenu ; fruit ; minéral ; substance ; génétique
riche.a 102 :: heureux ; enrichi ; fortuné ; vraiment ; pauvre ; grand ; lux ; beal ; gros ; bien
riche.a 118 :: pauvre ; développer ; industrialisé ; créancier ; excédentaire ; faible ; donateur ; pays ; arabe ; clé
riche.a 209 :: charger ; régulier ; maigre ; généreux ; fournir ; complet ; complexe ; prolifique ; nourrir ; haut
riche.a 222 :: grand ; important ; ancien ; fort ; bon ; nombreux ; bel ; vieux ; puissant ; petit
riche.a 293 :: charger ; enrichir ; complexe ; fort ; rée ; développer ; régulier ; fournir ; concentrer ; généreux
riche.a 294 :: enrichir ; fort ; charger ; remplir ; enrichissant ; fécond ; nourrir ; révélateur ; source ; marquer
riche.a 296 :: haut ; charger ; prolifique ; fournir ; lourd ; intense ; fort ; fertile ; pauvre ; marquer
taper.v 28 :: tape ; tirer ; chier ; chiqu ; gros ; chie ; cash ; mettre ; faire ; tire
taper.v 34 :: frappe ; clique ; cherche ; surf ; travailler ; recherche ; regarde ; souris ; cogne ; test
taper.v 76 :: con ; conseil ; blanc ; million ; personnel ; breton ; mai ; terminal ; serveur ; république
taper.v 82 :: cogne ; colle ; battre ; trouver ; payer ; mettre ; lancer ; paie ; place ; frappe
taper.v 83 :: savoir ; connaître ; trouver ; marque ; comprendre ; cherche ; continuer ; persist ; travailler ; cesser
taper.v 182 :: apprendre ; donne ; lit ; expliquer ; écrire ; enseigne ; note ; composer ; exécuter ; étudier
taper.v 221 :: frappe ; cogne ; piqu ; touche ; voir ; taire ; fou ; attaque ; cible ; lancer
taper.v 237 :: enregistrer ; utiliser ; obtenir ; place ; passer ; trouver ; composer ; choisir ; ajouter ; retrouver
taper.v 249 :: frappe ; danse ; colle ; donne ; claque ; pose ; marche ; pile ; accroche ; file
taper.v 259 :: inscrire ; enregistrer ; ajouter ; utiliser ; saisir ; modifier ; consulter ; simplement ; imprimer ; entrer
vaisseau.n 68 :: navire ; conteneur ; explorateur ; domaine ; planète ; plan ; groupe ; système ; petit ; véhicule
vaisseau.n 91 :: navire ; lieu ; esprit ; ligne ; corps ; homme ; lèvre ; transport ; âme ; troupe
vaisseau.n 104 :: cinéma ; sanctuaire ; complexe ; mystérieux ; fleuve ; sous-marin ; code ; empire ; légendaire ; film
vaisseau.n 122 :: logement ; commerce ; organisme ; article ; service ; petit ; moyen ; détail ; exemple ; collatéral
vaisseau.n 190 :: corps ; module ; véhicule ; engin ; objet ; esprit ; espace ; anneau ; plan ; élément
vaisseau.n 193 :: artère ; muscle ; organe ; connexion ; valve ; anticorp ; injection ; cellule ; caractéristique ; fondation
vaisseau.n 238 :: personnage ; être ; joueur ; article ; établissement ; projet ; peuple ; compagnon ; produit ; monstre
vaisseau.n 256 :: produit ; dernier ; véhicule ; résultat ; organe ; réponse ; but ; premier ; profil ; composant
vaisseau.n 270 :: navire ; bateau ; voilier ; corps ; véhicule ; engin ; croiseur ; objet ; paquebot ; cargo
vaisseau.n 274 :: navire ; légion ; corps ; système ; groupe ; engin ; véhicule ; pouvoir ; croiseur ; voyage
vaseux.a 3 :: parfaitement ; super ; ouai ; plat ; ultra ; aller ; vraiment ; vachement ; déjà ; putain
vaseux.a 4 :: voire ; aller ; eau ; gris ; doux ; plat ; devenir ; année ; être ; venir
vaseux.a 40 :: alpha ; céleste ; dire ; mont ; barrer ; doux ; royal ; pâle ; bleu ; chevalier
vaseux.a 53 :: géologique ; intermédiaire ; autonome ; russe ; international ; français ; allemand ; spécial ; propre ; professionnel
vaseux.a 62 :: pal ; aqueux ; vague ; obscur ; blonde ; moyennement ; léger ; tête ; légèrement ; gris
vaseux.a 92 :: profond ; navigable ; long ; bas ; creux ; court ; bleu ; intérieur ; propre ; haut
vaseux.a 112 :: mauvais ; bon ; sale ; doux ; tendre ; gros ; venir ; gay ; aller ; soumettre
vaseux.a 124 :: joseph ; aller ; louis ; jean ; jan ; pierre ; in ; faux ; petit ; bon
vaseux.a 216 :: moyennement ; voire ; entrer ; légèrement ; bon ; fort ; extrêmement ; vraiment ; suffisamment ; franchement
vaseux.a 288 :: professionnel ; information ; internet ; formation ; meilleur ; prochain ; investisseur ; nouveau ; communication ; apprentissage
