affection.n 8 :: affectation ; maladie ; institution ; disposition ; occasion ; opération ; obligation ; tendresse ; dernier ; habitude
montée.n 189 :: sécurité ; vie ; conduite ; randonnée ; croissance ; socialisation ; construction ; visite ; lecture ; baignade
montée.n 194 :: promotion ; chose ; présentation ; vérité ; nécessaire ; propriété ; construction ; fin ; dynamique ; cure
montée.n 250 :: descente ; suite ; veille ; chute ; montagne ; côte ; dernier ; journée ; poussée ; vallée
montée.n 285 :: ascension ; descente ; croissance ; évolution ; accession ; poussée ; progression ; tendance ; élévation ; course
obscur.a 22 :: sombre ; confus ; bizarre ; paradoxal ; opaque ; profond ; étrange ; ambigu ; mystérieux ; lumineux
obscur.a 43 :: sombre ; cacher ; mystérieux ; secret ; noir ; nocturne ; profond ; discret ; géologique ; froid
obscur.a 61 :: sombre ; côté ; coté ; rebelle ; opposer ; ennemi ; gauche ; profond ; officiel ; ordre
obscur.a 74 :: sombre ; déserte ; étroit ; noir ; aveugle ; tranquille ; interdire ; profond ; long ; morne
obscur.a 95 :: sombre ; discret ; invisible ; inconnu ; noble ; cacher ; opaque ; honteux ; secret ; clair
obscur.a 165 :: juste ; limité ; passer ; opaque ; vague ; faire ; flou ; étonnant ; surprenant ; lourd
obscur.a 247 :: sombre ; hermétique ; opaque ; occulte ; incertain ; austère ; froid ; abstraire ; noir ; confus
obscur.a 255 :: mystérieux ; incertain ; secret ; sombre ; énigmatique ; hermétique ; inconnu ; mystère ; opaque ; ancien
obscur.a 284 :: confus ; sombre ; inquiétant ; incertain ; douteux ; clair ; complexe ; soutenir ; étrange ; illisible
obscur.a 295 :: sombre ; noir ; inconnu ; opaque ; silencieux ; glacé ; ténébreux ; mystérieux ; bleu ; lumineux
riche.a 31 :: haut ; important ; magnifique ; vrai ; grand ; formidable ; réel ; enrichissant ; intéressant ; double
riche.a 46 :: minéral ; complexe ; fort ; enrichissant ; diversifier ; intense ; développer ; original ; dense ; fertile
riche.a 49 :: dense ; large ; long ; enrichir ; fort ; complexe ; complet ; enrichissant ; détailler ; généreux
riche.a 102 :: fortuné ; enrichi ; aisé ; heureux ; pauvre ; milliardaire ; nanti ; vertueux ; bien ; généreux
riche.a 118 :: développer ; pauvre ; industrialisé ; concerner ; pays ; viser ; excédentaire ; producteur ; enrichi ; grave
riche.a 209 :: charger ; haut ; enrichir ; fort ; complet ; maigre ; complexe ; pauvre ; régulier ; minéral
riche.a 222 :: grand ; bel ; prospère ; nombreux ; ancien ; important ; bon ; honorable ; fort ; étonnant
riche.a 293 :: charger ; complexe ; développer ; enrichir ; fort ; généreux ; concentrer ; profond ; lumineux ; entier
riche.a 294 :: enrichir ; fort ; enrichissant ; charger ; nourrir ; bel ; dense ; mère ; fécond ; entier
riche.a 296 :: prolifique ; charger ; fournir ; fort ; fertile ; intense ; haut ; marquer ; lourd ; dense
taper.v 28 :: tape ; bouffe ; plein ; chie ; tirer ; prendre ; chier ; shoot ; shooter ; faire
taper.v 34 :: frappe ; touche ; lancer ; cogne ; clique ; appuyer ; colle ; rush ; travailler ; relance
taper.v 76 :: donne ; donner ; million ; travailler ; passer ; proposer ; représenter ; réserve ; nommer ; fabrique
taper.v 82 :: colle ; balance ; prendre ; mettre ; trouver ; cogne ; voir ; retrouver ; payer ; péter
taper.v 83 :: trouver ; savoir ; répondre ; persist ; travailler ; continuer ; cherche ; comprendre ; demande ; connaître
taper.v 182 :: donne ; frappe ; composer ; expliquer ; accompagner ; lit ; écrire ; apprendre ; effectuer ; travailler
taper.v 221 :: piqu ; frappe ; taire ; touche ; chasse ; cogne ; casser ; attaque ; bouffe ; attrape
taper.v 237 :: utiliser ; recevoir ; trouver ; place ; obtenir ; choisir ; oublier ; mettre ; frappe ; retrouver
taper.v 249 :: frappe ; pile ; danse ; donne ; file ; piqu ; claque ; colle ; cher ; rentrer
taper.v 259 :: noter ; inscrire ; utiliser ; ajouter ; modifier ; saisir ; définir ; écrire ; enregistrer ; voir
vaisseau.n 68 :: navire ; plan ; bâtiment ; sous-marin ; bateau ; station ; avion ; conteneur ; tunnel ; projet
vaisseau.n 91 :: navire ; montagne ; personnage ; transport ; ouvrage ; terrain ; ligne ; corps ; couche ; esprit
vaisseau.n 104 :: monde ; gouvernement ; futur ; pays ; groupe ; film ; domaine ; cinéma ; lycée ; collège
vaisseau.n 122 :: logement ; article ; appartement ; service ; ouvrage ; coquillage ; immeuble ; vase ; commerce ; rocher
vaisseau.n 190 :: module ; navire ; véhicule ; sac ; corps ; roman ; programme ; livre ; système ; guide
vaisseau.n 193 :: programme ; construction ; statistique ; ouvrage ; conférence ; bibliothèque ; université ; caractéristique ; information ; organe
vaisseau.n 238 :: article ; joueur ; produit ; être ; personnage ; ouvrage ; travailleur ; établissement ; équipement ; acteur
vaisseau.n 256 :: dernier ; produit ; capillaire ; membre ; cellulaire ; sanguin ; constituant ; véhicule ; muscle ; système
vaisseau.n 270 :: navire ; engin ; être ; bateau ; voilier ; cargo ; véhicule ; butin ; aéronef ; avoir
vaisseau.n 274 :: engin ; véhicule ; corps ; système ; navire ; empire ; plan ; pouvoir ; étalon ; fuser
vaseux.a 3 :: caca ; voire ; bon ; douteux ; bidon ; couche ; plat ; profond ; chaussette ; pareil
vaseux.a 4 :: voire ; profond ; épais ; gros ; sombre ; oeil ; faux ; clair ; long ; extrêmement
vaseux.a 40 :: profond ; plat ; fin ; étroit ; lent ; mince ; sous-marin ; aqueux ; fonds ; long
vaseux.a 53 :: calcaire ; géologique ; intermédiaire ; autonome ; déjà ; rocheux ; extrêmement ; vraiment ; insuffisant ; devenir
vaseux.a 62 :: superficiel ; vague ; simple ; frais ; nature ; eau ; doux ; léger ; vert ; poétique
vaseux.a 92 :: profond ; intérieur ; froid ; propre ; côtier ; rocheuse ; sauvage ; lac ; bleu ; haut
vaseux.a 112 :: fatiguer ; gros ; mal ; vraiment ; propre ; mauvais ; malade ; léger ; lent ; pâle
vaseux.a 124 :: aller ; excellent ; également ; jamais ; certainement ; saint ; malheureusement ; probablement ; bon ; exemple
vaseux.a 216 :: faux ; douteux ; long ; lourd ; facile ; vain ; théorique ; superficiel ; juger ; obscur
vaseux.a 288 :: catégorie ; nouveau ; manuel ; communication ; information ; professionnel ; entreprise ; professeur ; publicité ; enseignement
