affection.n 8 :: bibliothèque ; conseiller ; université ; dernier ; participation ; nouveau ; universitaire ; professionnel ; collection ; merveilleux
montée.n 141 :: descente ; hausse ; courbe ; monte ; tendance ; chute ; transition ; transformation ; pente ; mise
montée.n 153 :: descente ; pente ; monte ; ascension ; côte ; chute ; partie ; suite ; route ; randonnée
montée.n 189 :: ascension ; descente ; victoire ; poussée ; monte ; randonnée ; montagne ; accession ; conduite ; pousse
montée.n 194 :: législation ; promotion ; vérité ; réalisation ; propriété ; présentation ; modification ; réalité ; formation ; loi
montée.n 250 :: suite ; descente ; dernier ; veille ; journée ; peau ; chute ; mort ; côte ; goutte
montée.n 285 :: ascension ; accession ; évolution ; tendance ; croissance ; conversion ; élévation ; naissance ; poussée ; descente
obscur.a 22 :: paradoxal ; profond ; petit ; curieux ; étrange ; discret ; absurde ; bref ; conséquent ; maladroit
obscur.a 43 :: sombre ; géologique ; supérieur ; souterrain ; particulier ; important ; mystérieux ; noir ; lumineux ; secondaire
obscur.a 61 :: sombre ; occulte ; cacher ; rebelle ; coté ; ennemi ; verse ; côté ; chinois ; invisible
obscur.a 74 :: sombre ; déserte ; bel ; tranquille ; noir ; clair ; calme ; close ; uni ; couvrir
obscur.a 95 :: sombre ; mystérieux ; visible ; long ; discret ; profond ; douloureux ; ambigu ; inconnu ; occulte
obscur.a 165 :: secret ; juste ; flou ; opaque ; magique ; gratuit ; complémentaire ; cacher ; simple ; transparent
obscur.a 247 :: sombre ; énigmatique ; superficiel ; confus ; hermétique ; abstraire ; incertain ; aveugle ; froid ; sec
obscur.a 255 :: sombre ; secret ; mystérieux ; cacher ; opaque ; mystère ; ombre ; garder ; occulte ; hermétique
obscur.a 284 :: confus ; opaque ; sombre ; incertain ; limpide ; établir ; hermétique ; inconnu ; intéressant ; mystérieux
obscur.a 295 :: sombre ; noir ; transparent ; opaque ; bleu ; nocturne ; inconnu ; ténébreux ; subtil ; noyer
riche.a 31 :: enrichissant ; patrimoine ; fort ; fécond ; fertile ; vaste ; vivier ; formidable ; développer ; enrichissement
riche.a 46 :: complexe ; sensible ; développer ; favorable ; diversifier ; charger ; fort ; prolifique ; patrimoine ; marquer
riche.a 49 :: large ; dense ; enrichir ; complexe ; vivant ; enrichissant ; complet ; généreux ; vaste ; franc
riche.a 102 :: enrichi ; pauvre ; petit ; propriétaire ; banquier ; grand ; vieux ; pays ; blanc ; français
riche.a 118 :: développer ; pauvre ; industrialisé ; excédentaire ; enrichi ; concerner ; aisé ; avancé ; créancier ; faible
riche.a 209 :: charger ; enrichir ; complexe ; complet ; haut ; régulier ; renforcer ; généreux ; diversifier ; efficace
riche.a 222 :: grand ; ancien ; bon ; vieux ; important ; bel ; petit ; fort ; nombreux ; prospère
riche.a 293 :: enrichir ; charger ; complexe ; rée ; fort ; développer ; teneur ; intense ; généreux ; régulier
riche.a 294 :: fort ; enrichir ; remplir ; charger ; accompagner ; réel ; enrichissant ; nourrir ; fruit ; plein
riche.a 296 :: fournir ; charger ; haut ; prolifique ; fort ; pauvre ; intéressant ; remplir ; intense ; généreux
taper.v 28 :: tape ; tas ; plein ; tirer ; shooter ; kick ; bouffe ; coup ; chie ; gros
taper.v 34 :: frappe ; clique ; touche ; cher ; cogne ; dire ; travailler ; appuyer ; repose ; colle
taper.v 76 :: con ; passer ; coin ; conseil ; donne ; droit ; total ; ben ; coup ; bon
taper.v 82 :: colle ; cogne ; trouver ; balance ; frappe ; vouloir ; prendre ; paie ; greffe ; falloir
taper.v 83 :: savoir ; compte ; présente ; comprendre ; connaître ; travailler ; marque ; trouver ; croire ; continuer
taper.v 182 :: évaluer ; transférer ; offrir ; examiner ; présente ; conserve ; relever ; promouvoir ; vole ; donne
taper.v 221 :: frappe ; piqu ; taire ; cible ; voir ; casser ; perc ; fou ; repousse ; attaque
taper.v 237 :: utiliser ; enregistrer ; choisir ; composer ; obtenir ; valide ; passer ; place ; trouver ; ajouter
taper.v 249 :: donne ; vite ; passer ; falloir ; colle ; clique ; ensuite ; fond ; appuyer ; vouloir
taper.v 259 :: noter ; utiliser ; saisir ; ajouter ; inscrire ; consulter ; enregistrer ; voir ; modifier ; définir
vaisseau.n 68 :: conteneur ; environnement ; groupe ; plan ; véhicule ; capsule ; tunnel ; jumelle ; emplacement ; voyage
vaisseau.n 91 :: organe ; muscle ; valve ; tissu ; construction ; navire ; maladie ; articulation ; esprit ; âme
vaisseau.n 104 :: monde ; navire ; film ; code ; lycée ; cinéma ; château ; futur ; projet ; pays
vaisseau.n 122 :: organisme ; logement ; service ; ouvrage ; article ; commerce ; rocher ; détail ; morceau ; corps
vaisseau.n 190 :: véhicule ; module ; navire ; corps ; voyage ; programme ; engin ; système ; val ; dispositif
vaisseau.n 193 :: construction ; ouvrage ; caractéristique ; programme ; organisme ; article ; publication ; télécommunications ; travail ; constructeur
vaisseau.n 238 :: personnage ; article ; être ; ouvrage ; joueur ; produit ; chose ; compagnon ; fils ; personne
vaisseau.n 256 :: dernier ; cellulaire ; sanguin ; produit ; muscle ; organe ; module ; lien ; principal ; liaison
vaisseau.n 270 :: navire ; bateau ; corps ; bâtiment ; cargo ; naufrage ; seigneur ; équipage ; voilier ; véhicule
vaisseau.n 274 :: véhicule ; navire ; engin ; virus ; programme ; cheval ; corps ; temps ; système ; croiseur
vaseux.a 3 :: peut-être ; sens ; voire ; oeil ; vraiment ; vieux ; légèrement ; aller ; pourtant ; bon
vaseux.a 4 :: bon ; in ; part ; lien ; an ; sens ; sen ; fin ; or ; faire
vaseux.a 40 :: aller ; léger ; venir ; autour ; loin ; profond ; port ; mer ; vaisseau ; petit
vaseux.a 53 :: futur ; face ; russe ; suisse ; français ; double ; long ; cité ; propre ; actuel
vaseux.a 62 :: bof ; super ; légèrement ; pal ; ben ; ultra ; rock ; slow ; voire ; vraiment
vaseux.a 92 :: raison ; propre ; ancien ; petit ; bel ; bon ; faux ; profond ; entrer ; fort
vaseux.a 112 :: déjà ; fin ; frais ; légèrement ; fruité ; jeune ; doux ; fort ; parfaitement ; moyennement
vaseux.a 124 :: loin ; aller ; fois ; voir ; également ; bon ; in ; faire ; face ; petit
vaseux.a 216 :: creux ; mou ; superficiel ; vain ; faux ; douteux ; sembler ; facile ; bas ; voire
vaseux.a 288 :: personnel ; professionnel ; technologique ; information ; nouveau ; complémentaire ; collectif ; publication ; statistique ; communication
