affection.n 8 :: institution ; long ; international ; organisation ; association ; réputation ; politique ; pratique ; national ; lettre
montée.n 141 :: descente ; progression ; courbe ; hausse ; dégradation ; monte ; croissance ; baisse ; poussée ; transformation
montée.n 153 :: descente ; vue ; montagne ; ascension ; monte ; randonnée ; pente ; côte ; ligne ; neige
montée.n 189 :: vie ; lecture ; visite ; sécurité ; promenade ; socialisation ; culture ; scolarisation ; pratique ; navigation
montée.n 194 :: promotion ; législation ; présentation ; divulgation ; propriété ; protection ; veille ; loi ; vérité ; technique
montée.n 250 :: suite ; veille ; descente ; chute ; baisse ; dernier ; fois ; long ; peau ; fatigue
montée.n 285 :: poussée ; ascension ; tendance ; évolution ; accession ; croissance ; conversion ; victoire ; puissance ; descente
obscur.a 22 :: curieux ; étrange ; paradoxal ; surprenant ; exact ; étonnant ; vrai ; intéressant ; mauvais ; absurde
obscur.a 43 :: sombre ; noir ; cacher ; inconnu ; mystérieux ; enfouir ; secret ; inaccessible ; souterrain ; invisible
obscur.a 61 :: sombre ; opposer ; adverse ; côté ; gauche ; rebelle ; ennemi ; droit ; américain ; positif
obscur.a 74 :: déserte ; sombre ; muet ; close ; noir ; aveugle ; allée ; incertain ; tranquille ; solitaire
obscur.a 95 :: inconnu ; noble ; noir ; discret ; aimer ; ignorer ; héroïque ; connaître ; pauvre ; réel
obscur.a 165 :: limité ; étonnant ; clair ; mystérieux ; passer ; secret ; flou ; surprenant ; proche ; évident
obscur.a 247 :: sombre ; occulte ; noir ; cacher ; hermétique ; triste ; honteux ; froid ; superficiel ; aveugle
obscur.a 255 :: sombre ; secret ; opaque ; mystérieux ; incertain ; cacher ; flou ; inconsciente ; énigme ; hermétique
obscur.a 284 :: confus ; abstraire ; hermétique ; sombre ; incertain ; mystérieux ; compliqué ; convenir ; incompréhensible ; ennuyeux
obscur.a 295 :: sombre ; bleu ; noir ; confus ; ténébreux ; pur ; silencieux ; sonore ; vert ; inconnu
riche.a 31 :: développer ; fort ; enrichissant ; patrimoine ; vrai ; ensemble ; formidable ; magnifique ; ample ; important
riche.a 46 :: complexe ; enrichissant ; enrichir ; diversifier ; culturel ; intéressant ; patrimoine ; minéral ; charger ; visiter
riche.a 49 :: complexe ; enrichir ; patrimoine ; ensemble ; diversifier ; religieux ; généreux ; produit ; développer ; fort
riche.a 102 :: fortuné ; pauvre ; privilégier ; voyageur ; enrichi ; romantique ; milliardaire ; vrai ; gagnant ; savant
riche.a 118 :: développer ; pauvre ; industrialisé ; concerner ; faible ; industriel ; donateur ; toucher ; avancé ; climatique
riche.a 209 :: charger ; enrichir ; minéral ; complexe ; nourrir ; maigre ; renforcer ; haut ; complet ; dense
riche.a 222 :: grand ; important ; ancien ; bon ; bel ; nombreux ; puissant ; vieux ; fort ; prospère
riche.a 293 :: charger ; enrichir ; fort ; complexe ; développer ; généreux ; teneur ; marquer ; concentrer ; régulier
riche.a 294 :: enrichir ; fort ; charger ; enrichissant ; nourrir ; marquer ; faire ; dense ; porteur ; bel
riche.a 296 :: prolifique ; fournir ; charger ; intense ; dense ; marquer ; pauvre ; fertile ; fort ; haut
taper.v 28 :: tape ; bouffe ; chie ; kick ; tas ; shooter ; foutre ; chier ; plein ; gros
taper.v 34 :: frappe ; cherche ; double ; regarde ; tique ; donne ; pop ; composer ; recherche ; danse
taper.v 76 :: conseil ; griffe ; con ; mai ; passer ; coin ; roquefort ; page ; service ; domaine
taper.v 82 :: colle ; trouver ; cogne ; sortir ; lancer ; prendre ; tourne ; vouloir ; piqu ; balance
taper.v 83 :: savoir ; travailler ; continuer ; compte ; persist ; demande ; dire ; répondre ; venir ; marque
taper.v 182 :: donne ; apprendre ; expliquer ; exécuter ; joue ; enseigne ; indique ; lit ; étudier ; répéter
taper.v 221 :: piqu ; frappe ; cible ; touche ; attrape ; attaque ; coup ; repousse ; casser ; bouffe
taper.v 237 :: utiliser ; obtenir ; composer ; enregistrer ; choisir ; trouver ; recevoir ; retrouver ; passer ; découvrir
taper.v 249 :: frappe ; danse ; cher ; claque ; tourne ; colle ; marche ; asseoir ; donne ; camper
taper.v 259 :: utiliser ; noter ; ajouter ; modifier ; consulter ; saisir ; voir ; définir ; également ; signaler
vaisseau.n 68 :: bateau ; navire ; plan ; bâtiment ; projet ; système ; groupe ; sous-marin ; petit ; lieu
vaisseau.n 91 :: rocher ; sous-marin ; navire ; fonction ; procédé ; muscle ; opération ; calcaire ; construction ; ligne
vaisseau.n 104 :: film ; cinéma ; lycée ; code ; château ; théâtre ; monde ; pays ; fleuve ; système
vaisseau.n 122 :: logement ; commerce ; article ; bâtiment ; appartement ; rocher ; service ; château ; organisme ; domaine
vaisseau.n 190 :: navire ; corps ; véhicule ; système ; coeur ; dispositif ; module ; sac ; ruban ; roman
vaisseau.n 193 :: valve ; artère ; cellule ; muscle ; capteur ; organe ; contraction ; tissu ; injection ; canal
vaisseau.n 238 :: joueur ; personnage ; article ; personne ; projet ; objet ; compagnon ; effet ; acteur ; chose
vaisseau.n 256 :: dernier ; produit ; sanguin ; organe ; effet ; premier ; véhicule ; muscle ; corps ; artère
vaisseau.n 270 :: navire ; bateau ; objet ; corps ; voilier ; naufrage ; appareil ; bâtiment ; cargo ; capitaine
vaisseau.n 274 :: navire ; véhicule ; corps ; croiseur ; système ; engin ; voyage ; groupe ; légion ; pouvoir
vaseux.a 3 :: bon ; voire ; propre ; raison ; entrer ; douteux ; loin ; tas ; légèrement ; généralement
vaseux.a 4 :: entrer ; purement ; voire ; simple ; mystérieux ; généralement ; extrêmement ; pouvoir ; propre ; largement
vaseux.a 40 :: tian ; mont ; choir ; parer ; an ; yin ; pai ; limoger ; dol ; han
vaseux.a 53 :: géologique ; calcaire ; fort ; insuffisant ; rocheux ; devenir ; intermédiaire ; déjà ; humide ; extrêmement
vaseux.a 62 :: léger ; aqueux ; doux ; pâle ; fin ; vague ; pal ; légèrement ; humide ; gras
vaseux.a 92 :: profond ; rocheuse ; maritime ; sauvage ; marin ; propre ; petit ; lointainer ; bleu ; haut
vaseux.a 112 :: mal ; mauvais ; fatiguer ; lent ; bouché ; malade ; insuffisant ; gros ; difficile ; douloureux
vaseux.a 124 :: marier ; aller ; monte ; in ; bon ; porto ; do ; go ; vrai ; loin
vaseux.a 216 :: douteux ; superficiel ; vain ; obscur ; sembler ; creux ; grossier ; vague ; faux ; polémique
vaseux.a 288 :: participation ; information ; meilleur ; professionnel ; service ; personne ; catégorie ; apprentissage ; être ; alimentation
