affection.n 8 :: maladie ; disposition ; occasion ; dernier ; affectation ; institution ; considération ; opération ; époque ; extrémité
montée.n 141 :: monte ; courbe ; poussée ; hausse ; descente ; chute ; progression ; baisse ; croissance ; croissant
montée.n 153 :: pente ; descente ; chute ; côte ; douleur ; route ; vie ; monte ; montagne ; fatigue
montée.n 189 :: vie ; lecture ; conduite ; visite ; croissance ; randonnée ; descente ; construction ; mobilité ; culture
montée.n 194 :: disponibilité ; promotion ; progression ; développement ; présentation ; traitement ; descente ; augmentation ; manifestation ; législation
montée.n 250 :: suite ; descente ; veille ; chute ; route ; côte ; vie ; dernier ; série ; poussée
montée.n 285 :: évolution ; carrière ; progression ; croissance ; ascension ; développement ; tendance ; progressif ; éducation ; vie
obscur.a 22 :: confus ; clair ; sombre ; profond ; mystérieux ; étrange ; opaque ; incompréhensible ; ordre ; trouble
obscur.a 43 :: sombre ; mystérieux ; noir ; flou ; lumineux ; secret ; cacher ; chaud ; étrange ; froid
obscur.a 61 :: opposer ; sombre ; adverse ; américain ; ennemi ; rebelle ; côté ; français ; mystique ; gauche
obscur.a 74 :: sombre ; clair ; noir ; déserte ; uni ; interdire ; cacher ; tranquille ; incertain ; aveugle
obscur.a 95 :: inconnu ; invisible ; discret ; sombre ; petit ; méconnaître ; mineur ; ignorer ; profond ; honteux
obscur.a 165 :: flou ; limité ; important ; opaque ; faible ; passer ; impressionnant ; logique ; proche ; lier
obscur.a 247 :: aride ; hermétique ; sombre ; opaque ; occulte ; abstraire ; confus ; lent ; incompréhensible ; froid
obscur.a 255 :: mystérieux ; sombre ; incertain ; hermétique ; énigmatique ; opaque ; inconnu ; confus ; étrange ; secret
obscur.a 284 :: confus ; hermétique ; incertain ; intéressant ; opaque ; abstraire ; mystérieux ; inconnu ; énigmatique ; sombre
obscur.a 295 :: noir ; sombre ; souterrain ; opaque ; inconnu ; profond ; bleu ; transparent ; invisible ; épais
riche.a 31 :: haut ; formidable ; magnifique ; fort ; enrichissant ; important ; vrai ; réel ; bon ; grand
riche.a 46 :: complexe ; diversifier ; charger ; dense ; minéral ; enrichissant ; patrimoine ; développer ; marquer ; sensible
riche.a 49 :: dense ; enrichissant ; complexe ; charger ; enrichir ; fort ; large ; complet ; religieux ; double
riche.a 102 :: fortuné ; pauvre ; enrichi ; heureux ; grand ; milliardaire ; extraordinaire ; privilégier ; rouge ; généreux
riche.a 118 :: pauvre ; asiatique ; léger ; malade ; concerner ; périphérique ; développer ; industrialisé ; occidental ; lointain
riche.a 209 :: enrichir ; charger ; haut ; pauvre ; complet ; dense ; faible ; complexe ; régulier ; remplir
riche.a 222 :: grand ; bon ; bel ; ancien ; petit ; important ; vieux ; nombreux ; vrai ; prospère
riche.a 293 :: enrichir ; fort ; charger ; développer ; nourrir ; complexe ; marquer ; remplir ; régulier ; teneur
riche.a 294 :: fort ; enrichir ; charger ; accompagner ; remplir ; porteur ; fécond ; enrichissant ; révélateur ; mère
riche.a 296 :: fournir ; haut ; charger ; prolifique ; pauvre ; intense ; marquer ; lourd ; copieux ; dense
taper.v 28 :: tape ; tirer ; chier ; kick ; chie ; foutre ; plein ; faire ; mettre ; chiqu
taper.v 34 :: frappe ; touche ; travailler ; lancer ; plante ; clique ; repose ; dire ; gagner ; cale
taper.v 76 :: donner ; donne ; réserve ; roquefort ; million ; passer ; jour ; fabrique ; savoir ; classe
taper.v 82 :: colle ; cogne ; falloir ; donne ; place ; trouver ; mettre ; payer ; sortir ; prendre
taper.v 83 :: savoir ; continuer ; marque ; compte ; persist ; connaître ; cesser ; comprendre ; présente ; travailler
taper.v 182 :: donne ; apprendre ; enseigne ; expliquer ; lit ; indique ; étudier ; note ; répéter ; écrire
taper.v 221 :: frappe ; attaque ; piqu ; fou ; touche ; cogne ; coup ; colle ; combat ; casser
taper.v 237 :: utiliser ; trouver ; retrouver ; enregistrer ; obtenir ; vérifier ; découvrir ; choisir ; passer ; récupérer
taper.v 249 :: frappe ; danse ; colle ; touche ; donne ; travailler ; pile ; file ; place ; tourne
taper.v 259 :: inscrire ; ajouter ; noter ; utiliser ; consulter ; saisir ; voir ; définir ; enregistrer ; compléter
vaisseau.n 68 :: plan ; conteneur ; navire ; groupe ; expérience ; emplacement ; plongée ; voyage ; lieu ; véhicule
vaisseau.n 91 :: produit ; montagne ; tissu ; corps ; homme ; couche ; enfant ; fonction ; construction ; lèvre
vaisseau.n 104 :: bâtiment ; système ; navire ; droit ; pavillon ; soleil ; conteneur ; matériel ; service ; terminal
vaisseau.n 122 :: petit ; logement ; exemple ; article ; commerce ; service ; château ; organisme ; rocher ; réseau
vaisseau.n 190 :: sac ; navire ; disque ; système ; portail ; cube ; module ; flot ; livre ; roman
vaisseau.n 193 :: construction ; nouveau ; principal ; international ; transport ; bibliographie ; renseignement ; ouvrage ; parallèle ; chronique
vaisseau.n 238 :: article ; ouvrage ; apport ; effet ; produit ; point ; navire ; personnage ; équipement ; être
vaisseau.n 256 :: dernier ; produit ; nouveau ; sanguin ; échantillon ; participant ; victime ; système ; organe ; constituant
vaisseau.n 270 :: navire ; bateau ; corps ; convoi ; bâtiment ; véhicule ; pétrolier ; embarcation ; voilier ; cargo
vaisseau.n 274 :: navire ; groupe ; croiseur ; corps ; système ; empire ; générateur ; engin ; équipage ; légion
vaseux.a 3 :: douteux ; facile ; profond ; superficiel ; débile ; bidon ; dangereux ; sombre ; bon ; sérieux
vaseux.a 4 :: gras ; entrer ; mystérieux ; jeune ; travers ; queux ; sale ; fort ; doux ; taire
vaseux.a 40 :: plat ; profond ; entrer ; fin ; aqueux ; petit ; calcaire ; gris ; sous-marin ; marin
vaseux.a 53 :: français ; intermédiaire ; géologique ; supérieur ; louis ; montagneux ; interne ; petit ; électrique ; suisse
vaseux.a 62 :: doux ; bon ; profond ; légèrement ; léger ; froid ; frais ; presque ; extrêmement ; mauvais
vaseux.a 92 :: raison ; pratique ; relation ; propre ; année ; histoire ; petit ; maladie ; tradition ; destiner
vaseux.a 112 :: mal ; bouché ; mauvais ; gros ; propre ; malade ; fatiguer ; impuissant ; vraiment ; partout
vaseux.a 124 :: pays ; marier ; aller ; ch ; face ; bourg ; loin ; in ; suisse ; prochain
vaseux.a 216 :: lourd ; mou ; couche ; superficiel ; bon ; dire ; bof ; sale ; plat ; douteux
vaseux.a 288 :: information ; professionnel ; caractéristique ; international ; technologique ; catégorie ; immobilier ; nouveau ; participation ; renseignement
