affection.n 8 :: maladie ; dernier ; occasion ; disposition ; opération ; extrémité ; institution ; époque ; épreuve ; association
montée.n 138 :: évolution ; puissance ; performance ; gestion ; progression ; croissant ; complexité ; poussée ; croissance ; réputation
montée.n 141 :: mise ; maîtrise ; fabrication ; poussée ; fixation ; hausse ; construction ; partie ; monte ; transition
montée.n 153 :: descente ; pente ; côte ; chute ; ascension ; monte ; suite ; progression ; route ; montagne
montée.n 189 :: vie ; lecture ; visite ; croissance ; socialisation ; sécurité ; scolarisation ; navigation ; culture ; conduite
montée.n 194 :: chose ; réception ; venir ; promotion ; vérité ; progression ; présentation ; réalisation ; fin ; manifestation
montée.n 250 :: descente ; suite ; côte ; progression ; veille ; hausse ; poussée ; pente ; couture ; construction
montée.n 285 :: tendance ; ascension ; accession ; conversion ; descente ; participation ; croissance ; poussée ; naissance ; suite
obscur.a 22 :: paradoxal ; étrange ; curieux ; ridicule ; exact ; bizarre ; logique ; pénible ; absurde ; fou
obscur.a 43 :: sombre ; noir ; mystérieux ; silencieux ; secret ; lumineux ; cacher ; flou ; mort ; critique
obscur.a 61 :: rebelle ; sombre ; yang ; yen ; chinois ; nord ; us ; sud ; ténébreux ; ennemi
obscur.a 74 :: sombre ; déserte ; noir ; froid ; muet ; close ; plate ; couvrir ; morne ; incertain
obscur.a 95 :: inconnu ; sombre ; discret ; mystérieux ; honteux ; glorieux ; noir ; noble ; invisible ; profond
obscur.a 165 :: flou ; limité ; important ; faire ; opaque ; passer ; inconnu ; vague ; étonnant ; énorme
obscur.a 247 :: sombre ; profond ; hermétique ; opaque ; incertain ; confus ; occulte ; incompréhensible ; abstraire ; étranger
obscur.a 255 :: mystérieux ; sombre ; secret ; incertain ; opaque ; inconnu ; flou ; confus ; énigmatique ; connaître
obscur.a 284 :: confus ; convenir ; douteux ; illisible ; lourd ; incompréhensible ; incertain ; compliqué ; convaincant ; sombre
obscur.a 295 :: sombre ; noir ; bleu ; transparent ; profond ; noyer ; ténébreux ; mystérieux ; ténèbre ; nocturne
riche.a 31 :: important ; haut ; patrimoine ; fort ; grand ; vaste ; intense ; incomparable ; enrichissant ; formidable
riche.a 46 :: complexe ; prolifique ; développer ; important ; sensible ; charger ; favorable ; diversifier ; marquer ; visiter
riche.a 49 :: fort ; complexe ; religieux ; large ; profond ; témoignage ; enrichissant ; église ; double ; grave
riche.a 102 :: fortuné ; pauvre ; heureux ; enrichi ; aisé ; privilégier ; ordinaire ; normal ; milliardaire ; nanti
riche.a 118 :: développer ; industrialisé ; pauvre ; malade ; tiers ; producteur ; arabe ; faible ; excédentaire ; clé
riche.a 209 :: fort ; complexe ; teneur ; enrichir ; fortement ; dense ; complet ; nutrition ; minéral ; diversifier
riche.a 222 :: grand ; bel ; nombreux ; ancien ; bon ; étonnant ; important ; fort ; vieux ; large
riche.a 293 :: enrichir ; charger ; fort ; complexe ; intense ; généreux ; développer ; concentrer ; habiller ; fournir
riche.a 294 :: fort ; enrichir ; fécond ; enrichissant ; complet ; au-delà ; nourrir ; entier ; magnifique ; développer
riche.a 296 :: pauvre ; haut ; charger ; prolifique ; fournir ; fort ; lourd ; long ; lot ; généreux
taper.v 28 :: tape ; tas ; plein ; gros ; coup ; kick ; shooter ; tirer ; triple ; bouffe
taper.v 34 :: frappe ; appuyer ; pression ; touche ; composer ; charge ; pop ; plante ; proposer ; centre
taper.v 76 :: technologique ; industriel ; parlementaire ; personnel ; participation ; développement ; international ; professionnel ; collectif ; communautaire
taper.v 82 :: colle ; trouver ; payer ; donne ; mettre ; cogne ; prendre ; passer ; paie ; place
taper.v 83 :: savoir ; continuer ; connaître ; cherche ; trouver ; comprendre ; compte ; croire ; présente ; travailler
taper.v 182 :: donne ; frappe ; marque ; répéter ; mélange ; place ; grave ; danse ; écrire ; expliquer
taper.v 221 :: os ; zou ; abricot ; badminton ; zoom ; lynx ; jade ; côtoyer ; bordeaux ; pointe
taper.v 237 :: utiliser ; obtenir ; trouver ; passer ; retrouver ; enregistrer ; place ; choisir ; recevoir ; conserve
taper.v 249 :: frappe ; colle ; appuyer ; tourne ; rentrer ; place ; tenir ; cogne ; venir ; frotte
taper.v 259 :: noter ; utiliser ; ajouter ; saisir ; inscrire ; voir ; lire ; donner ; enregistrer ; compléter
vaisseau.n 68 :: groupe ; navire ; projet ; système ; programme ; domaine ; plan ; station ; avion ; compte
vaisseau.n 91 :: navire ; bâtiment ; construction ; opération ; côté ; ouvrage ; enfant ; sous-marin ; mur ; modification
vaisseau.n 104 :: corps ; monde ; gouvernement ; groupe ; droit ; pays ; futur ; temps ; domaine ; lycée
vaisseau.n 122 :: organisme ; vase ; article ; château ; domaine ; petit ; logement ; groupe ; service ; espace
vaisseau.n 190 :: module ; sac ; système ; programme ; plan ; véhicule ; plateau ; dispositif ; menu ; disque
vaisseau.n 193 :: organe ; caractéristique ; produit ; élément ; construction ; extrémité ; système ; instrument ; organisme ; structure
vaisseau.n 238 :: article ; produit ; joueur ; personnage ; équipement ; projet ; être ; effet ; ouvrage ; objet
vaisseau.n 256 :: dernier ; produit ; cellulaire ; premier ; participant ; médicament ; ingrédient ; résultat ; véhicule ; organe
vaisseau.n 270 :: navire ; bateau ; cargo ; couler ; maritime ; naufrage ; spatial ; voilier ; capitaine ; âge
vaisseau.n 274 :: navire ; légion ; groupe ; système ; rayon ; corps ; croiseur ; véhicule ; pouvoir ; plan
vaseux.a 3 :: bon ; entrer ; dire ; voire ; aller ; fort ; faire ; pratique ; sale ; vain
vaseux.a 4 :: gel ; or ; in ; tiers ; pro ; coton ; ex ; sac ; côté ; fin
vaseux.a 40 :: or ; limoger ; an ; jean ; mer ; temple ; lien ; os ; sud ; aller
vaseux.a 53 :: géologique ; rocheux ; organique ; fertile ; calcaire ; profondément ; absorber ; extrêmement ; renouvelable ; glaciaire
vaseux.a 62 :: légèrement ; eau ; fin ; terre ; citer ; moyennement ; bouche ; nature ; long ; déjà
vaseux.a 92 :: long ; petit ; raison ; entrer ; dire ; voire ; profond ; tas ; être ; court
vaseux.a 112 :: face ; aller ; go ; han ; dragon ; nord ; sud ; expliquer ; monte ; voire
vaseux.a 124 :: aller ; également ; nouveau ; malheureux ; dernier ; pourtant ; pays ; étranger ; faux ; partout
vaseux.a 216 :: faux ; douteux ; vague ; sembler ; vain ; fort ; creux ; juger ; grossier ; bas
vaseux.a 288 :: professeur ; Monsieur ; petit ; personnellement ; nouveau ; gouvernement ; par ; manuel ; dernier ; représentant
