affection.n 8 :: dernier ; maladie ; occasion ; épreuve ; époque ; attaque ; disposition ; influence ; ambition ; extrémité
montée.n 189 :: vie ; descente ; traction ; conduite ; sécurité ; visite ; tâche ; progression ; randonnée ; récupération
montée.n 194 :: promotion ; présentation ; protection ; construction ; chose ; propriété ; révélation ; déclaration ; législation ; vérité
montée.n 250 :: suite ; descente ; veille ; chute ; journée ; dernier ; côte ; plupart ; fois ; poussée
montée.n 285 :: croissance ; ascension ; poussée ; tendance ; évolution ; accession ; progression ; politique ; chute ; croissant
obscur.a 22 :: côté ; objet ; coté ; mal ; point ; clair ; esprit ; petit ; presque ; sombre
obscur.a 43 :: sombre ; mystérieux ; géologique ; inconnu ; lumineux ; clair ; cacher ; inaccessible ; sanguin ; noir
obscur.a 61 :: sombre ; opposer ; côté ; ennemi ; clair ; droit ; commun ; adverse ; coté ; gauche
obscur.a 74 :: sombre ; déserte ; noir ; aveugle ; confus ; incertain ; muet ; profond ; gris ; foncer
obscur.a 95 :: inconnu ; petit ; noble ; profond ; malheureux ; puissant ; illustre ; jeune ; ancien ; excellent
obscur.a 165 :: gratuit ; passer ; limité ; important ; disponible ; similaire ; intéressant ; flou ; juste ; meilleur
obscur.a 247 :: hermétique ; sombre ; incertain ; abstraire ; étranger ; inutile ; confus ; inaccessible ; opaque ; gris
obscur.a 255 :: sombre ; mystérieux ; secret ; hermétique ; incertain ; opaque ; flou ; cacher ; chrétien ; énigmatique
obscur.a 284 :: confus ; opaque ; incertain ; sombre ; illisible ; hétéroclite ; limpide ; intéressant ; obsolète ; flou
obscur.a 295 :: sombre ; noir ; inconnu ; confus ; transparent ; glacé ; sourd ; nocturne ; bleu ; innombrable
riche.a 31 :: fort ; grand ; source ; extrêmement ; également ; devenir ; déjà ; prolifique ; incroyablement ; fécond
riche.a 46 :: important ; charger ; complexe ; développer ; intéressant ; diversifier ; marquer ; enrichissant ; minéral ; fort
riche.a 49 :: large ; complexe ; dense ; fort ; enrichir ; complet ; religieux ; double ; haut ; long
riche.a 102 :: enrichi ; fortuné ; heureux ; vraiment ; pauvre ; grand ; milliardaire ; pays ; français ; généreux
riche.a 118 :: pauvre ; développer ; industrialisé ; faible ; arabe ; malade ; donateur ; pays ; concerner ; créancier
riche.a 209 :: charger ; régulier ; enrichir ; maigre ; haut ; complet ; nourrir ; généreux ; minéral ; prolifique
riche.a 222 :: grand ; bel ; bon ; nombreux ; important ; prospère ; ancien ; brillant ; étonnant ; fort
riche.a 293 :: enrichir ; nourrir ; charger ; fort ; complexe ; concentrer ; profond ; intense ; généreux ; développer
riche.a 294 :: nourrir ; fort ; enrichissant ; enrichir ; intéressant ; bel ; fécond ; charger ; source ; complet
riche.a 296 :: déjà ; extrêmement ; largement ; fort ; voire ; prolifique ; clairement ; charger ; fortement ; ment
taper.v 28 :: tape ; tas ; gros ; coup ; triple ; bouffe ; fa ; vis-à-vis ; jaune ; plein
taper.v 34 :: frappe ; travailler ; touche ; copie ; cherche ; fouille ; appuyer ; recherche ; tombe ; clique
taper.v 76 :: conseil ; roquefort ; permettre ; total ; jour ; domaine ; million ; nuit ; compagnie ; passer
taper.v 82 :: colle ; cogne ; trouver ; place ; frappe ; battre ; falloir ; payer ; coller ; peau
taper.v 83 :: savoir ; continuer ; compte ; travailler ; croire ; persist ; cherche ; connaître ; répondre ; marque
taper.v 182 :: donne ; joue ; dicter ; rythme ; apprendre ; exécuter ; expliquer ; cher ; accompagner ; enchaîner
taper.v 221 :: frappe ; cogne ; coup ; tas ; piqu ; face ; fou ; pi ; feu ; colle
taper.v 237 :: utiliser ; enregistrer ; vérifier ; place ; valide ; trouver ; obtenir ; composer ; saisir ; passer
taper.v 249 :: cote ; frappe ; colle ; danse ; regarde ; piqu ; tourne ; glisse ; pose ; place
taper.v 259 :: noter ; ajouter ; consulter ; comprendre ; voir ; lire ; inscrire ; utiliser ; saisir ; enregistrer
vaisseau.n 68 :: plan ; navire ; système ; lieu ; bateau ; emplacement ; groupe ; conteneur ; véhicule ; voyage
vaisseau.n 91 :: navire ; sous-marin ; fonction ; aiguille ; enfant ; opération ; terrain ; couche ; ligne ; résultat
vaisseau.n 104 :: film ; cinéma ; magazine ; code ; programme ; théâtre ; lycée ; monde ; domaine ; groupe
vaisseau.n 122 :: petit ; logement ; moyen ; vase ; organisme ; détail ; commerce ; service ; article ; corps
vaisseau.n 190 :: module ; plan ; corps ; roman ; voyage ; carnet ; coeur ; pont ; moteur ; ruban
vaisseau.n 193 :: artère ; valve ; organe ; injection ; muscle ; anticorp ; connexion ; élément ; capteur ; cellule
vaisseau.n 238 :: article ; personnage ; produit ; ouvrage ; être ; objet ; chose ; corps ; moyen ; équipement
vaisseau.n 256 :: dernier ; organe ; produit ; sanguin ; système ; muscle ; membre ; mécanisme ; résultat ; nouveau
vaisseau.n 270 :: navire ; bâtiment ; bateau ; voilier ; engin ; cargo ; appareil ; véhicule ; convoi ; porte-avions
vaisseau.n 274 :: navire ; corps ; véhicule ; groupe ; croiseur ; engin ; module ; lanceur ; butin ; légion
vaseux.a 3 :: vraiment ; naturellement ; extrêmement ; profond ; propre ; évidemment ; bon ; forcément ; vachement ; légèrement
vaseux.a 4 :: entrer ; voire ; fin ; aller ; partout ; lent ; in ; per ; tas ; rester
vaseux.a 40 :: profond ; plat ; humide ; rapide ; sec ; étroit ; sous-marin ; lent ; calcaire ; moyennement
vaseux.a 53 :: intermédiaire ; externe ; propre ; également ; simple ; interne ; difficile ; excellent ; intéressant ; payant
vaseux.a 62 :: antique ; vague ; poétique ; légèrement ; citer ; fin ; artistique ; psyché ; lent ; eau
vaseux.a 92 :: profond ; frais ; propre ; chaud ; froid ; avoir ; doux ; entrer ; fin ; léger
vaseux.a 112 :: déjà ; doux ; également ; clairement ; légèrement ; aller ; parfaitement ; vraiment ; nettement ; côté
vaseux.a 124 :: fois ; haut ; or ; pays ; aller ; marier ; bon ; ordre ; également ; face
vaseux.a 216 :: faux ; creux ; vague ; abstrait ; vain ; superficiel ; douteux ; fantaisiste ; théorique ; polémique
vaseux.a 288 :: information ; participation ; renseignement ; caractéristique ; professionnel ; internet ; nouveau ; international ; développement ; politique
