affection.n 8 :: dernier ; maladie ; occasion ; association ; affectation ; adresse ; opération ; disposition ; nouveau ; espèce
montée.n 141 :: courbe ; monte ; chute ; descente ; hausse ; poussée ; progression ; tendance ; transformation ; décroissance
montée.n 153 :: descente ; pente ; côte ; vie ; chute ; douleur ; montagne ; route ; victoire ; situation
montée.n 189 :: vie ; conduite ; production ; montagne ; récupération ; pratique ; croissance ; visite ; descente ; sécurité
montée.n 194 :: législation ; disposition ; demande ; protection ; clientèle ; déclaration ; propriété ; suite ; droit ; promotion
montée.n 250 :: suite ; descente ; veille ; chute ; route ; fatigue ; fin ; vie ; côte ; nuit
montée.n 285 :: ascension ; accession ; poussée ; descente ; croissance ; participation ; tendance ; constitution ; naissance ; conversion
obscur.a 22 :: profond ; grand ; curieux ; clair ; étrange ; mystérieux ; fort ; paradoxal ; ingénieux ; petit
obscur.a 43 :: sombre ; cacher ; noir ; souterrain ; secret ; mystérieux ; discret ; invisible ; inaccessible ; froid
obscur.a 61 :: sombre ; opposer ; gauche ; adverse ; ennemi ; rebelle ; américain ; droit ; perdre ; ouest
obscur.a 74 :: déserte ; sombre ; close ; muet ; incertain ; interdire ; noir ; silencieux ; fermé ; éclairer
obscur.a 95 :: inconnu ; ignorer ; sombre ; discret ; profond ; mystérieux ; noble ; esclave ; secret ; voir
obscur.a 165 :: juste ; faire ; passer ; réel ; important ; étonnant ; lier ; lourd ; partout ; limité
obscur.a 247 :: sombre ; froid ; superficiel ; abstraire ; muet ; étranger ; inutile ; aride ; vide ; incertain
obscur.a 255 :: mystérieux ; sombre ; opaque ; mystère ; hermétique ; cacher ; monde ; énigmatique ; occulte ; énigme
obscur.a 284 :: confus ; hermétique ; illisible ; mystérieux ; sombre ; convaincant ; incertain ; incompréhensible ; écrire ; ambigu
obscur.a 295 :: sombre ; noir ; profond ; confus ; couvert ; mystérieux ; transparent ; fleurir ; bleu ; plat
riche.a 31 :: haut ; formidable ; fort ; important ; vrai ; grand ; réel ; magnifique ; large ; enrichissant
riche.a 46 :: complexe ; diversifier ; développer ; prolifique ; minéral ; dense ; enrichissant ; varier ; intense ; charger
riche.a 49 :: enrichir ; dense ; fort ; complexe ; enrichissant ; complet ; diversifier ; vivant ; développer ; large
riche.a 102 :: enrichi ; pauvre ; fortuné ; privilégier ; aisé ; heureux ; grand ; généreux ; blanc ; nanti
riche.a 118 :: développer ; pauvre ; excédentaire ; industrialisé ; malade ; faible ; pays ; producteur ; produit ; avancé
riche.a 209 :: charger ; haut ; fournir ; pauvre ; complexe ; régulier ; complet ; enrichir ; consister ; dense
riche.a 222 :: grand ; vieux ; petit ; ancien ; bel ; bon ; puissant ; important ; élégant ; fort
riche.a 293 :: enrichir ; complexe ; charger ; généreux ; fort ; rée ; développer ; concentrer ; nourrir ; lier
riche.a 294 :: enrichir ; fort ; nourrir ; fécond ; bel ; intéressant ; enrichissant ; profond ; naître ; original
riche.a 296 :: prolifique ; charger ; fournir ; fort ; fertile ; haut ; marquer ; pauvre ; dense ; lourd
taper.v 28 :: tape ; tas ; bouffe ; gros ; chiqu ; plein ; kick ; chier ; porto ; chie
taper.v 34 :: frappe ; touche ; travailler ; tourne ; lancer ; composer ; colle ; cher ; code ; commencer
taper.v 76 :: réserve ; donne ; donner ; classe ; faire ; laisse ; passer ; partager ; proposer ; permettre
taper.v 82 :: balance ; trouver ; sortir ; prendre ; fiche ; proposer ; donne ; place ; colle ; retrouver
taper.v 83 :: savoir ; travailler ; répondre ; connaître ; trouver ; comprendre ; dire ; cherche ; recevoir ; croire
taper.v 182 :: donne ; frappe ; cher ; accompagner ; travailler ; apprendre ; note ; écrire ; pose ; place
taper.v 221 :: piqu ; frappe ; attaque ; casser ; pille ; bouffe ; cogne ; cible ; taire ; voir
taper.v 237 :: utiliser ; choisir ; retrouver ; acheter ; trouver ; obtenir ; recevoir ; posséder ; garde ; découvrir
taper.v 249 :: rentrer ; colle ; donne ; claque ; cher ; file ; cote ; face ; tourne ; frappe
taper.v 259 :: noter ; saisir ; inscrire ; ajouter ; utiliser ; voir ; compléter ; donner ; modifier ; écrire
vaisseau.n 68 :: plan ; navire ; planète ; système ; station ; île ; futur ; groupe ; véhicule ; expérience
vaisseau.n 91 :: navire ; enfant ; ligne ; pied ; lieu ; homme ; montagne ; sujet ; nerf ; esprit
vaisseau.n 104 :: film ; cinéma ; monde ; groupe ; système ; pays ; gouvernement ; roman ; cosmo ; théâtre
vaisseau.n 122 :: service ; organisme ; petit ; logement ; moyen ; corps ; travail ; domaine ; article ; vase
vaisseau.n 190 :: module ; véhicule ; sac ; conteneur ; voyage ; programme ; bagage ; rayon ; corps ; navire
vaisseau.n 193 :: artère ; organe ; canal ; valve ; cellule ; capteur ; élément ; connexion ; réseau ; muscle
vaisseau.n 238 :: équipement ; joueur ; produit ; article ; navire ; personnage ; projet ; moyen ; effet ; ouvrage
vaisseau.n 256 :: dernier ; produit ; organe ; membre ; participant ; droit ; réseau ; apport ; corps ; véhicule
vaisseau.n 270 :: être ; question ; bateau ; navire ; frère ; canada ; temps ; jumeau ; canadien ; janvier
vaisseau.n 274 :: navire ; corps ; engin ; sous-marin ; module ; voyage ; système ; croiseur ; bateau ; véhicule
vaseux.a 3 :: fort ; moyennement ; citer ; légèrement ; foncer ; profond ; entrer ; cave ; naturellement ; boisé
vaseux.a 4 :: voire ; entrer ; doux ; aller ; sale ; cul ; taire ; tas ; in ; con
vaseux.a 40 :: loin ; côté ; aller ; autour ; également ; voir ; in ; rivière ; portugais ; petit
vaseux.a 53 :: géologique ; calcaire ; rocheux ; fertile ; autonome ; humide ; solide ; montagneux ; intermédiaire ; futur
vaseux.a 62 :: humide ; obscur ; profond ; mouiller ; inconsciente ; sombre ; aqueux ; léger ; flotter ; familier
vaseux.a 92 :: petit ; raison ; maint ; entrer ; propre ; profond ; fort ; être ; connaître ; découverte
vaseux.a 112 :: mauvais ; mal ; malade ; fatiguer ; lent ; faible ; impuissant ; aller ; blesser ; bon
vaseux.a 124 :: aller ; in ; prochain ; pourtant ; français ; pays ; malheureux ; bon ; mauvais ; face
vaseux.a 216 :: vain ; superficiel ; faux ; creux ; vague ; grossier ; théorique ; idéologique ; polémique ; douteux
vaseux.a 288 :: participation ; information ; personne ; entreprise ; communication ; professionnel ; international ; nouveau ; publication ; renseignement
