affection.n 8 :: affectation ; amitié ; habitude ; dernier ; épreuve ; admiration ; maladie ; adoption ; attaque ; opinion
montée.n 153 :: pente ; côte ; descente ; monte ; douleur ; neige ; suite ; finale ; ascension ; chute
montée.n 189 :: vie ; descente ; conduite ; production ; lecture ; progression ; réussite ; croissance ; construction ; réflexion
montée.n 194 :: promotion ; fin ; réalité ; présentation ; révélation ; vérité ; protection ; réalisation ; réduction ; culture
montée.n 250 :: mode ; suite ; vent ; compagnie ; vie ; conseil ; côte ; peinture ; poussée ; coloration
montée.n 285 :: ascension ; poussée ; évolution ; tendance ; croissance ; descente ; suite ; progression ; politique ; chute
obscur.a 22 :: honteux ; ridicule ; confus ; mystérieux ; sombre ; absurde ; pourtant ; profond ; bizarre ; paradoxal
obscur.a 43 :: sombre ; noir ; souterrain ; cacher ; nocturne ; humide ; mystérieux ; inaccessible ; secret ; vert
obscur.a 61 :: sombre ; opposer ; côté ; profond ; ennemi ; rebelle ; us ; coté ; allié ; officiel
obscur.a 74 :: sombre ; déserte ; close ; noir ; incertain ; muet ; silencieux ; immobile ; limpide ; tranquille
obscur.a 95 :: noir ; sombre ; inconnu ; brun ; fort ; profond ; invisible ; humain ; puissant ; petit
obscur.a 165 :: limité ; gratuit ; juste ; passer ; transparent ; abordable ; flou ; impressionnant ; étonnant ; basique
obscur.a 247 :: sombre ; secret ; abstraire ; froid ; confus ; incertain ; hermétique ; superficiel ; mou ; profond
obscur.a 255 :: mystérieux ; opaque ; hermétique ; secret ; sombre ; énigme ; incertain ; mystère ; énigmatique ; cacher
obscur.a 284 :: confus ; opaque ; sombre ; intéressant ; incertain ; complexe ; limpide ; illisible ; simpliste ; convaincant
obscur.a 295 :: sombre ; noir ; mystérieux ; transparent ; opaque ; confus ; silencieux ; bleu ; sourd ; clair
riche.a 31 :: haut ; important ; réel ; magnifique ; formidable ; enrichissant ; grand ; vrai ; large ; intéressant
riche.a 46 :: diversifier ; marquer ; complexe ; enrichir ; sensible ; développer ; dense ; patrimoine ; enrichissant ; fort
riche.a 49 :: dense ; large ; fort ; brillant ; enrichir ; complexe ; complet ; développer ; vivant ; enrichissant
riche.a 102 :: enrichi ; fortuné ; pauvre ; privilégier ; aisé ; nanti ; heureux ; milliardaire ; grand ; sportif
riche.a 118 :: pauvre ; développer ; industrialisé ; excédentaire ; concerner ; faible ; toucher ; industriel ; avancé ; sensible
riche.a 209 :: enrichir ; charger ; fort ; haut ; complexe ; fournir ; complet ; teneur ; régulier ; source
riche.a 222 :: grand ; bon ; bel ; ancien ; important ; nombreux ; prospère ; petit ; fort ; brillant
riche.a 293 :: enrichir ; fort ; charger ; complexe ; nourrir ; développer ; marquer ; généreux ; intense ; renforcer
riche.a 294 :: enrichir ; fort ; enrichissant ; nourrir ; charger ; fécond ; bel ; dense ; intéressant ; marquer
riche.a 296 :: charger ; fournir ; haut ; prolifique ; contenu ; fort ; généreux ; enrichir ; remplir ; marquer
taper.v 28 :: tape ; tirer ; chie ; tas ; plein ; chier ; foutre ; tire ; bouffe ; mettre
taper.v 34 :: frappe ; appuyer ; touche ; composer ; lancer ; repose ; cogne ; pop ; travailler ; cher
taper.v 76 :: donne ; donner ; laisse ; réserve ; passer ; million ; proposer ; souvenir ; classe ; faire
taper.v 82 :: prendre ; colle ; mettre ; copie ; balance ; cogne ; sortir ; cale ; trouver ; piqu
taper.v 83 :: savoir ; trouver ; connaître ; répondre ; travailler ; cherche ; continuer ; dire ; demande ; persist
taper.v 182 :: enseigne ; expliquer ; apprendre ; donne ; énonce ; effectuer ; lit ; étudier ; répéter ; présente
taper.v 221 :: frappe ; cogne ; touche ; piqu ; attaque ; fou ; balance ; taire ; face ; tas
taper.v 237 :: utiliser ; enregistrer ; frappe ; choisir ; obtenir ; retrouver ; trouver ; recevoir ; prendre ; récupérer
taper.v 249 :: frappe ; danse ; pile ; claque ; touche ; appuyer ; fond ; pose ; arriver ; glisse
taper.v 259 :: noter ; ajouter ; saisir ; inscrire ; utiliser ; compléter ; donner ; voir ; enregistrer ; écrire
vaisseau.n 68 :: projet ; environnement ; emplacement ; groupe ; plan ; paysage ; profil ; système ; navire ; équipage
vaisseau.n 91 :: navire ; lieu ; point ; opération ; ligne ; homme ; relation ; muraille ; montagne ; corps
vaisseau.n 104 :: monde ; lycée ; pays ; groupe ; futur ; navire ; film ; gouvernement ; château ; code
vaisseau.n 122 :: organisme ; service ; article ; moyen ; logement ; petit ; corps ; vase ; peuple ; objet
vaisseau.n 190 :: module ; navire ; sac ; corps ; système ; siège ; véhicule ; disque ; programme ; trou
vaisseau.n 193 :: artère ; valve ; organe ; connexion ; cellule ; muscle ; tissu ; moyen ; structure ; fondation
vaisseau.n 238 :: article ; personnage ; joueur ; être ; établissement ; compagnon ; acteur ; chose ; objet ; produit
vaisseau.n 256 :: dernier ; organe ; sanguin ; produit ; liaison ; participant ; système ; constituant ; principal ; véhicule
vaisseau.n 270 :: navire ; bateau ; cargo ; voilier ; véhicule ; porte-avions ; appareil ; objet ; bâtiment ; conteneur
vaisseau.n 274 :: navire ; groupe ; véhicule ; corps ; engin ; pouvoir ; voyage ; monde ; croiseur ; pilote
vaseux.a 3 :: douteux ; léger ; légèrement ; faire ; personnel ; circuler ; grossier ; faux ; franchement ; fort
vaseux.a 4 :: part ; aller ; sens ; tradition ; mettre ; doux ; aimer ; montre ; entrer ; propre
vaseux.a 40 :: couleur ; perle ; sac ; petit ; fin ; mode ; également ; côté ; tête ; eau
vaseux.a 53 :: meuble ; organique ; géologique ; rocheux ; minéral ; humide ; déjà ; calcaire ; profond ; déposer
vaseux.a 62 :: pal ; aqueux ; sable ; terre ; légèrement ; bière ; gras ; poudre ; léger ; moyennement
vaseux.a 92 :: bière ; boisson ; dire ; cl ; blonde ; nature ; bon ; réputer ; fin ; pays
vaseux.a 112 :: cul ; aller ; bon ; vraiment ; voire ; in ; totalement ; loin ; gros ; bientôt
vaseux.a 124 :: marier ; aller ; porto ; loin ; également ; inter ; joseph ; manière ; presque ; face
vaseux.a 216 :: long ; bon ; gras ; année ; bof ; douteux ; voire ; lourd ; superficiel ; convenir
vaseux.a 288 :: collectif ; professionnel ; Monsieur ; communication ; pierre ; jean ; mademoiselle ; nouveau ; guillaume ; professeur
