affection.n 8 :: affectation ; maladie ; disposition ; ambition ; dernier ; épreuve ; influence ; tendresse ; habitude ; institution
montée.n 141 :: descente ; monte ; courbe ; progression ; dégradation ; poussée ; transformation ; mue ; hausse ; progressif
montée.n 153 :: pente ; descente ; douleur ; monte ; chute ; montagne ; grimper ; vie ; randonnée ; tâche
montée.n 189 :: vie ; sécurité ; lecture ; visite ; socialisation ; conduite ; croissance ; promenade ; randonnée ; natation
montée.n 194 :: promotion ; présentation ; construction ; chose ; réalisation ; vérité ; propriété ; progression ; pression ; preuve
montée.n 250 :: suite ; descente ; veille ; chute ; poussée ; côte ; montagne ; dernier ; fois ; vie
montée.n 285 :: poussée ; ascension ; tendance ; croissance ; développement ; progression ; politique ; évolution ; victoire ; puissance
obscur.a 22 :: sombre ; profond ; bizarre ; peut-être ; clair ; ambigu ; étrange ; mystérieux ; mal ; honteux
obscur.a 43 :: sombre ; vert ; mystérieux ; cacher ; lumineux ; souterrain ; inaccessible ; gris ; profond ; naturel
obscur.a 61 :: côté ; sombre ; clair ; ordre ; bref ; personnage ; processus ; chemin ; plan ; mystérieux
obscur.a 74 :: sombre ; déserte ; noir ; clair ; muet ; incertain ; couvrir ; gris ; interdire ; froid
obscur.a 95 :: ignorer ; inconnu ; sombre ; puissant ; grand ; petit ; muet ; misérable ; noble ; nain
obscur.a 165 :: clair ; secret ; flou ; gratuit ; opaque ; limité ; juste ; compris ; profond ; important
obscur.a 247 :: aride ; incertain ; froid ; sombre ; étranger ; exigeant ; confus ; gris ; fade ; abstraire
obscur.a 255 :: sombre ; mystérieux ; opaque ; secret ; inconnu ; cacher ; étrange ; énigmatique ; mystère ; hermétique
obscur.a 284 :: confus ; sombre ; flou ; opaque ; incertain ; compliqué ; ambigu ; complexe ; douteux ; mystérieux
obscur.a 295 :: sombre ; mystérieux ; opaque ; transparent ; noir ; inconnu ; profond ; confus ; ténébreux ; noyer
riche.a 31 :: haut ; grand ; magnifique ; large ; important ; double ; formidable ; vaste ; incomparable ; enrichissant
riche.a 46 :: complexe ; dense ; diversifier ; intéressant ; développer ; prolifique ; important ; favorable ; enrichissant ; vivant
riche.a 49 :: enrichir ; large ; complexe ; enrichissant ; dense ; nourrir ; vaste ; jeune ; généreux ; numérique
riche.a 102 :: fortuné ; enrichi ; milliardaire ; pauvre ; français ; heureux ; aisé ; bien ; grand ; privilégier
riche.a 118 :: développer ; pauvre ; industrialisé ; créancier ; concerner ; avancé ; donateur ; clé ; arabe ; faible
riche.a 209 :: charger ; haut ; enrichir ; fournir ; régulier ; nourrir ; remplir ; consister ; dense ; complexe
riche.a 222 :: grand ; bon ; important ; nombreux ; ancien ; fort ; bel ; prospère ; petit ; brillant
riche.a 293 :: charger ; complexe ; fort ; enrichir ; régulier ; généreux ; lumineux ; profond ; développer ; équilibré
riche.a 294 :: enrichir ; enrichissant ; charger ; fort ; remplir ; fécond ; marquer ; nourrir ; révélateur ; faire
riche.a 296 :: charger ; fournir ; prolifique ; haut ; pauvre ; fertile ; fort ; avare ; marquer ; remplir
taper.v 28 :: tape ; tas ; kick ; gros ; plein ; tirer ; cash ; shooter ; chie ; bouffe
taper.v 34 :: frappe ; clique ; touche ; travailler ; tourne ; lancer ; code ; appuyer ; cher ; cale
taper.v 76 :: conseil ; droit ; personnel ; bon ; total ; domaine ; social ; jour ; service ; lieu
taper.v 82 :: colle ; prendre ; payer ; cogne ; paie ; cote ; mettre ; trouver ; balance ; battre
taper.v 83 :: savoir ; persist ; continuer ; travailler ; comprendre ; compte ; répondre ; trouver ; connaître ; demande
taper.v 182 :: dicter ; composer ; lit ; donne ; écrire ; frappe ; marque ; cale ; trace ; rythme
taper.v 221 :: frappe ; piqu ; cogne ; écraser ; touche ; attaque ; perc ; taire ; bouffe ; attrape
taper.v 237 :: choisir ; utiliser ; composer ; obtenir ; enregistrer ; vérifier ; valide ; retrouver ; passer ; trouver
taper.v 249 :: frappe ; face ; claque ; frapper ; colle ; cogne ; côté ; donne ; vraiment ; touche
taper.v 259 :: noter ; ajouter ; compléter ; inscrire ; saisir ; utiliser ; donner ; consulter ; voir ; lire
vaisseau.n 68 :: navire ; plan ; bateau ; bâtiment ; sous-marin ; avion ; groupe ; environnement ; conteneur ; emplacement
vaisseau.n 91 :: esprit ; point ; ligne ; construction ; pied ; chose ; lèvre ; surface ; navire ; connaissance
vaisseau.n 104 :: film ; cinéma ; roman ; système ; monde ; pays ; projet ; magazine ; groupe ; domaine
vaisseau.n 122 :: petit ; service ; logement ; article ; exemple ; vase ; produit ; moyen ; innombrable ; miroir
vaisseau.n 190 :: corps ; véhicule ; voyage ; module ; programme ; disque ; système ; centre ; sac ; plan
vaisseau.n 193 :: artère ; muscle ; cellule ; organe ; valve ; capteur ; tissu ; injection ; capillaire ; canal
vaisseau.n 238 :: article ; être ; équipement ; produit ; ouvrage ; effet ; apport ; projet ; joueur ; personnage
vaisseau.n 256 :: produit ; résultat ; dernier ; droit ; organe ; véhicule ; but ; premier ; participant ; cheveu
vaisseau.n 270 :: navire ; voilier ; bateau ; véhicule ; cargo ; temps ; aéronef ; engin ; objet ; avion
vaisseau.n 274 :: navire ; véhicule ; lancer ; corps ; cheval ; pouvoir ; légion ; système ; engin ; centre
vaseux.a 3 :: profond ; entrer ; fort ; relation ; pratique ; sale ; douteux ; bon ; léger ; fin
vaseux.a 4 :: doux ; aller ; voire ; entrer ; profond ; in ; légèrement ; bon ; gros ; coule
vaseux.a 40 :: plat ; fonds ; profond ; meuble ; sous-marin ; calme ; rocheux ; marin ; étroit ; calcaire
vaseux.a 53 :: meuble ; géologique ; déjà ; rocheux ; humide ; fort ; calcaire ; organique ; fertile ; mal
vaseux.a 62 :: aqueux ; pal ; légèrement ; bière ; nature ; moyennement ; léger ; blonde ; doux ; joyeux
vaseux.a 92 :: pays ; commune ; raison ; nature ; histoire ; propre ; relation ; ville ; vallée ; citer
vaseux.a 112 :: mal ; mauvais ; frais ; doux ; bouché ; bon ; fort ; moyennement ; légèrement ; mieux
vaseux.a 124 :: mieux ; loin ; partout ; entendre ; aller ; fois ; fort ; vite ; sûr ; simplement
vaseux.a 216 :: moyennement ; plat ; mauvais ; sauce ; mettre ; léger ; bordeaux ; vite ; facile ; bouche
vaseux.a 288 :: personnel ; professionnel ; alimentaire ; réserve ; accessoire ; félicitation ; catégorie ; participation ; petit ; supplémentaire
