affection.n 8 :: affectation ; résolution ; épreuve ; reconnaissance ; considération ; maladie ; disgrâce ; disposition ; influence ; attaque
montée.n 141 :: monte ; poussée ; descente ; hausse ; progressif ; progression ; courbe ; mise ; réduction ; baisse
montée.n 153 :: long ; pente ; descente ; dur ; rude ; raide ; douloureux ; monte ; court ; grimper
montée.n 189 :: vie ; lecture ; croissance ; conduite ; visite ; sécurité ; construction ; socialisation ; réflexion ; mobilité
montée.n 194 :: promotion ; venir ; chose ; progression ; propriété ; réalité ; fin ; construction ; réalisation ; présentation
montée.n 250 :: descente ; suite ; veille ; journée ; côte ; fin ; neige ; progression ; poussée ; montagne
montée.n 285 :: évolution ; croissance ; tendance ; ascension ; conversion ; poussée ; progression ; politique ; suite ; chute
obscur.a 22 :: paradoxal ; étrange ; profond ; curieux ; bizarre ; absurde ; incompréhensible ; incomplet ; ridicule ; éloquer
obscur.a 43 :: sombre ; cacher ; secret ; mystérieux ; souterrain ; discret ; sauvage ; inaccessible ; étroit ; inattendu
obscur.a 61 :: opposer ; sombre ; côté ; gauche ; ouest ; droit ; coté ; positif ; chinois ; américain
obscur.a 74 :: déserte ; sombre ; close ; tranquille ; étroit ; incertain ; faire ; allée ; long ; muet
obscur.a 95 :: inconnu ; sombre ; invisible ; noble ; ombre ; ange ; mineur ; petit ; mystérieux ; supérieur
obscur.a 165 :: étonnant ; juste ; impressionnant ; opaque ; incroyable ; important ; intéressant ; limité ; gratuit ; surprenant
obscur.a 247 :: sombre ; honteux ; inutile ; muet ; superficiel ; froid ; étranger ; abstraire ; amère ; occulte
obscur.a 255 :: secret ; mystérieux ; sombre ; opaque ; incertain ; hermétique ; énigmatique ; cacher ; mystère ; inconnu
obscur.a 284 :: confus ; sombre ; compliqué ; complexe ; douteux ; développer ; brouillon ; mystérieux ; incertain ; élaborer
obscur.a 295 :: sombre ; noir ; inconnu ; confus ; dernier ; bleu ; pur ; supérieur ; réfléchir ; ténébreux
riche.a 31 :: fort ; développement ; patrimoine ; réel ; précieux ; enrichissant ; pays ; développer ; important ; vaste
riche.a 46 :: enrichissant ; minéral ; complexe ; diversifier ; varier ; charger ; intéressant ; visiter ; magnifique ; favorable
riche.a 49 :: enrichir ; large ; complexe ; enrichissant ; dense ; ample ; vaste ; grand ; complet ; clair
riche.a 102 :: enrichi ; pauvre ; heureux ; français ; grand ; blanc ; entrepreneur ; fortuné ; vraiment ; économiste
riche.a 118 :: développer ; pauvre ; industrialisé ; avancé ; producteur ; concerner ; excédentaire ; industriel ; tiers ; faible
riche.a 209 :: charger ; régulier ; enrichir ; complet ; fournir ; maigre ; pauvre ; haut ; généreux ; dense
riche.a 222 :: grand ; bel ; bon ; ancien ; nombreux ; prospère ; petit ; fort ; important ; vieux
riche.a 293 :: enrichir ; fort ; charger ; complexe ; dense ; teneur ; intense ; développer ; fournir ; nourrir
riche.a 294 :: fort ; enrichir ; remplir ; charger ; fécond ; nourrir ; accompagner ; enrichissant ; génératrice ; fruit
riche.a 296 :: charger ; fournir ; prolifique ; fort ; haut ; remplir ; généreux ; déjà ; dense ; largement
taper.v 28 :: tape ; tas ; bouffe ; plein ; kick ; shooter ; porto ; coup ; gros ; shoot
taper.v 34 :: frappe ; touche ; lancer ; clique ; mise ; plante ; appuyer ; repose ; pop ; code
taper.v 76 :: petit ; pierre ; université ; professionnel ; nouveau ; personnel ; internet ; conseil ; chaussure ; bibliothèque
taper.v 82 :: colle ; prendre ; donne ; trouver ; mettre ; cogne ; dire ; balance ; retrouver ; remettre
taper.v 83 :: personnel ; travailler ; donne ; cesser ; travail ; programme ; marque ; commerce ; développement ; prochain
taper.v 182 :: donne ; frappe ; joue ; expliquer ; marteler ; répéter ; exécuter ; enseigne ; apprendre ; effectuer
taper.v 221 :: frappe ; face ; cogne ; marque ; attaque ; ensuite ; durement ; piqu ; frapper ; vite
taper.v 237 :: utiliser ; frappe ; trouver ; passer ; obtenir ; ajouter ; enregistrer ; retrouver ; recevoir ; donne
taper.v 249 :: danse ; frappe ; cote ; donne ; fond ; cher ; appuyer ; colle ; file ; camper
taper.v 259 :: noter ; inscrire ; ajouter ; utiliser ; définir ; saisir ; modifier ; voir ; écrire ; donner
vaisseau.n 68 :: navire ; avion ; groupe ; projet ; article ; station ; nation ; bâtiment ; entreprise ; petit
vaisseau.n 91 :: esprit ; résultat ; personnage ; paroi ; corps ; point ; objet ; montagne ; rocher ; enfant
vaisseau.n 104 :: film ; cinéma ; monde ; domaine ; système ; groupe ; code ; pays ; lycée ; théâtre
vaisseau.n 122 :: service ; organisme ; logement ; article ; vase ; coquillage ; château ; commerce ; appartement ; fragment
vaisseau.n 190 :: véhicule ; module ; navire ; voyage ; roman ; matériel ; programme ; ruban ; disque ; dispositif
vaisseau.n 193 :: artère ; valve ; connexion ; organe ; muscle ; tissu ; cellule ; capteur ; capillaire ; greffe
vaisseau.n 238 :: produit ; article ; équipement ; joueur ; objet ; personnage ; ouvrage ; projet ; navire ; compagnon
vaisseau.n 256 :: sanguin ; dernier ; organe ; capillaire ; principal ; produit ; nouveau ; prochain ; participant ; cellulaire
vaisseau.n 270 :: navire ; cargo ; bateau ; voilier ; paquebot ; véhicule ; bâtiment ; objet ; porte-avions ; corps
vaisseau.n 274 :: navire ; véhicule ; corps ; groupe ; légion ; système ; croiseur ; module ; engin ; centre
vaseux.a 3 :: cul ; bidon ; superficiel ; bof ; faux ; nul ; mou ; débile ; dingue ; bon
vaseux.a 4 :: gras ; entrer ; sale ; aller ; fort ; doux ; mystérieux ; sérieux ; grossier ; mouiller
vaseux.a 40 :: plat ; profond ; sous-marin ; humide ; meuble ; marin ; propre ; fonds ; rocheux ; calme
vaseux.a 53 :: organique ; meuble ; géologique ; fort ; humide ; intermédiaire ; rocheux ; profond ; comprendre ; déposer
vaseux.a 62 :: légèrement ; humide ; eau ; tiède ; doux ; sable ; propre ; parfaitement ; presque ; mousseux
vaseux.a 92 :: petit ; léger ; raison ; comparaison ; profond ; légèrement ; lever ; relation ; maint ; grand
vaseux.a 112 :: mauvais ; bon ; loin ; fin ; aller ; déjà ; mal ; vieux ; doux ; légèrement
vaseux.a 124 :: marier ; in ; os ; monte ; loin ; ana ; porto ; do ; aller ; dos
vaseux.a 216 :: moyennement ; légèrement ; profond ; voire ; petit ; aqueux ; généralement ; fin ; grossier ; fosse
vaseux.a 288 :: catégorie ; collection ; professionnel ; réserve ; nouveau ; professeur ; petit ; information ; alimentation ; produit
