affection.n 8 :: maladie ; affectation ; disposition ; occasion ; dernier ; épreuve ; habitude ; ambition ; attaque ; influence
montée.n 153 :: côte ; descente ; chute ; pente ; victoire ; route ; courbe ; vie ; douleur ; chanson
montée.n 189 :: vie ; conduite ; visite ; croissance ; sécurité ; descente ; baignade ; lecture ; randonnée ; progression
montée.n 194 :: faveur ; suite ; formation ; tour ; propriété ; protection ; chambre ; droit ; fin ; noblesse
montée.n 250 :: suite ; veille ; descente ; peau ; plupart ; fatigue ; foule ; montagne ; chute ; fin
montée.n 285 :: ascension ; tendance ; poussée ; évolution ; croissance ; accession ; progression ; politique ; puissance ; conversion
obscur.a 22 :: profond ; clair ; paradoxal ; opaque ; limpide ; sombre ; étrange ; bizarre ; étonnant ; lumineux
obscur.a 43 :: sombre ; froid ; clair ; noir ; profond ; naturel ; lumineux ; transparent ; mystérieux ; commun
obscur.a 61 :: sombre ; opposer ; gauche ; jour ; américain ; ennemi ; adverse ; cacher ; droit ; profond
obscur.a 74 :: sombre ; incertain ; muet ; déserte ; confus ; silencieux ; affreux ; cacher ; noir ; profond
obscur.a 95 :: inconnu ; sombre ; discret ; muet ; mystérieux ; mineur ; honteux ; illustre ; noble ; glorieux
obscur.a 165 :: flou ; limité ; secret ; gratuit ; abordable ; juste ; passer ; inconnu ; opaque ; transparent
obscur.a 247 :: sombre ; mystérieux ; mou ; confus ; superficiel ; opaque ; froid ; énigmatique ; sec ; vague
obscur.a 255 :: secret ; opaque ; mystérieux ; incertain ; énigme ; flou ; sombre ; hermétique ; nébuleuse ; étroit
obscur.a 284 :: confus ; incertain ; hermétique ; littéraire ; compliqué ; incompréhensible ; intéressant ; aride ; limpide ; illisible
obscur.a 295 :: sombre ; nocturne ; noir ; ténébreux ; confus ; inconnu ; bleu ; profond ; diffus ; singulier
riche.a 31 :: haut ; formidable ; magnifique ; grand ; merveilleux ; bon ; libre ; vrai ; vaste ; passionnant
riche.a 46 :: patrimoine ; dense ; fort ; intéressant ; complexe ; charger ; extrêmement ; varier ; grand ; culturel
riche.a 49 :: dense ; fort ; large ; enrichir ; lourd ; complexe ; lumineux ; charger ; détailler ; développer
riche.a 102 :: fortuné ; heureux ; privilégier ; chanceux ; aisé ; pauvre ; enrichi ; grand ; milliardaire ; malade
riche.a 118 :: développer ; industrialisé ; pauvre ; concerner ; occidental ; européen ; arabe ; exportateur ; producteur ; tiers
riche.a 209 :: charger ; enrichir ; fournir ; complet ; généreux ; complexe ; haut ; nourrir ; dense ; régulier
riche.a 222 :: grand ; bon ; ancien ; prospère ; bel ; important ; nombreux ; vieux ; brillant ; vrai
riche.a 293 :: charger ; fort ; enrichir ; développer ; complexe ; entier ; généreux ; rée ; profond ; fournir
riche.a 294 :: enrichir ; enrichissant ; fort ; charger ; nourrir ; vivant ; remplir ; marquer ; révélateur ; accompagner
riche.a 296 :: prolifique ; charger ; fournir ; contenu ; fort ; dense ; intense ; haut ; marquer ; fertile
taper.v 28 :: tape ; tas ; bouffe ; kick ; plein ; gros ; coup ; jus ; shooter ; chiqu
taper.v 34 :: frappe ; clique ; appuyer ; recherche ; colle ; regarde ; trouver ; travailler ; composer ; touche
taper.v 76 :: conseil ; service ; personnel ; trouver ; réserve ; donne ; partage ; janvier ; nommer ; gratuit
taper.v 82 :: colle ; cogne ; frappe ; faire ; voir ; déjà ; barre ; battre ; face ; coller
taper.v 83 :: savoir ; cesser ; continuer ; répondre ; travailler ; persist ; connaître ; compte ; demande ; marque
taper.v 182 :: donne ; joue ; expliquer ; répéter ; frappe ; pose ; écoute ; exécuter ; étudier ; faire
taper.v 221 :: frappe ; attaque ; piqu ; battre ; vole ; taire ; perc ; déplacer ; baisse ; tourne
taper.v 237 :: choisir ; obtenir ; utiliser ; enregistrer ; trouver ; place ; composer ; valide ; créer ; passer
taper.v 249 :: frappe ; danse ; pose ; piqu ; colle ; appuyer ; claque ; donne ; cher ; touche
taper.v 259 :: noter ; ajouter ; inscrire ; saisir ; découvrir ; compléter ; utiliser ; consulter ; voir ; ci-dessous
vaisseau.n 68 :: navire ; plan ; emplacement ; pavillon ; planète ; petit ; bateau ; système ; groupe ; avion
vaisseau.n 91 :: lieu ; navire ; lèvre ; esprit ; personne ; caractère ; ligne ; corps ; sujet ; relation
vaisseau.n 104 :: film ; futur ; cinéma ; système ; monde ; groupe ; roman ; projet ; domaine ; lycée
vaisseau.n 122 :: organisme ; vase ; article ; service ; objet ; groupe ; moyen ; logement ; organe ; château
vaisseau.n 190 :: module ; navire ; programme ; véhicule ; disque ; roman ; corps ; voyage ; matériel ; livre
vaisseau.n 193 :: artère ; cellule ; valve ; muscle ; capteur ; organe ; connexion ; anticorp ; tissu ; greffe
vaisseau.n 238 :: article ; équipement ; produit ; joueur ; objet ; personnage ; ouvrage ; moyen ; effet ; être
vaisseau.n 256 :: dernier ; sanguin ; participant ; capillaire ; muscle ; organe ; produit ; constituant ; système ; principal
vaisseau.n 270 :: navire ; bateau ; cargo ; objet ; voilier ; engin ; porte-avions ; bâtiment ; corps ; sous-marin
vaisseau.n 274 :: navire ; véhicule ; groupe ; corps ; cheval ; croiseur ; plan ; pilote ; engin ; pouvoir
vaseux.a 3 :: douteux ; relatif ; dire ; superficiel ; propre ; personnel ; profond ; voire ; littéraire ; stupide
vaseux.a 4 :: doux ; aller ; entrer ; voire ; in ; être ; sérieux ; tas ; mystérieux ; lent
vaseux.a 40 :: in ; supérieur ; eau ; profond ; type ; su ; inférieur ; canal ; face ; légèrement
vaseux.a 53 :: déjà ; géologique ; rocheux ; calcaire ; meuble ; fort ; extrêmement ; vraiment ; organique ; fertile
vaseux.a 62 :: pal ; joyeux ; doux ; léger ; décontractée ; joueur ; sombre ; morose ; aqueux ; légèrement
vaseux.a 92 :: profond ; propre ; petit ; fort ; long ; bon ; grand ; couche ; maint ; bouteille
vaseux.a 112 :: venir ; aller ; doux ; voir ; monte ; vin ; perle ; couche ; vie ; rivière
vaseux.a 124 :: bon ; aller ; voir ; dernier ; saint ; jeune ; doux ; in ; exemple ; nouveau
vaseux.a 216 :: long ; faux ; lourd ; profond ; douteux ; voire ; dire ; théorique ; léger ; facile
vaseux.a 288 :: participation ; information ; renseignement ; personne ; professionnel ; international ; nouveau ; universitaire ; gouvernement ; conseiller
