affection.n 8 :: affectation ; épreuve ; influence ; ambition ; attaque ; appréciation ; humiliation ; habitude ; accusation ; opinion
montée.n 138 :: évolution ; hausse ; performance ; gestion ; augmentation ; poussée ; croissance ; progression ; vitesse ; complexité
montée.n 141 :: monte ; descente ; courbe ; hausse ; poussée ; croissance ; progression ; dégradation ; dérive ; baisse
montée.n 153 :: pente ; descente ; chute ; tâche ; douleur ; vie ; neige ; suite ; route ; lutte
montée.n 189 :: vie ; lecture ; visite ; sécurité ; conduite ; promenade ; pratique ; croissance ; scolarisation ; tâche
montée.n 194 :: promotion ; présentation ; protection ; culture ; législation ; propriété ; production ; diffusion ; technique ; société
montée.n 250 :: suite ; descente ; chute ; veille ; plupart ; vie ; compression ; côte ; fatigue ; baisse
montée.n 285 :: conversion ; évolution ; tendance ; ascension ; croissance ; poussée ; accession ; politique ; puissance ; réduction
obscur.a 22 :: mystérieux ; profond ; confus ; occulte ; opaque ; sombre ; diffus ; honteux ; énigmatique ; discret
obscur.a 43 :: sombre ; cacher ; souterrain ; noir ; secret ; géologique ; profond ; enfouir ; froid ; stratégique
obscur.a 61 :: sombre ; opposer ; coté ; ennemi ; côté ; rebelle ; adverse ; gauche ; droit ; ouest
obscur.a 74 :: sombre ; déserte ; noir ; incertain ; interdire ; allée ; aveugle ; cacher ; froid ; tranquille
obscur.a 95 :: sombre ; noir ; inconnu ; puissant ; mystérieux ; petit ; discret ; grand ; profond ; noble
obscur.a 165 :: juste ; passer ; gratuit ; faire ; limité ; énorme ; important ; étonnant ; lier ; nécessaire
obscur.a 247 :: incertain ; aride ; sombre ; hermétique ; vide ; flou ; confus ; froid ; mou ; étranger
obscur.a 255 :: sombre ; secret ; mystérieux ; opaque ; cacher ; hermétique ; noir ; incertain ; étrange ; chrétien
obscur.a 284 :: confus ; incertain ; sombre ; développer ; flou ; compliqué ; intéressant ; écrire ; brouillon ; opaque
obscur.a 295 :: sombre ; noir ; clair ; bleu ; confus ; opaque ; mystérieux ; profond ; nocturne ; inconnu
riche.a 31 :: haut ; formidable ; fort ; magnifique ; vrai ; patrimoine ; important ; prolifique ; réel ; grand
riche.a 46 :: complexe ; minéral ; patrimoine ; fort ; varier ; enrichir ; enrichissant ; extrêmement ; profond ; déjà
riche.a 49 :: dense ; complexe ; fort ; complet ; large ; enrichir ; enrichissant ; rapide ; charger ; développer
riche.a 102 :: fortuné ; privilégier ; milliardaire ; pauvre ; grand ; enrichi ; heureux ; luxueux ; sportif ; seul
riche.a 118 :: développer ; pauvre ; industrialisé ; avancé ; occidental ; endetter ; concerner ; fortuné ; faible ; viser
riche.a 209 :: enrichir ; charger ; fournir ; haut ; complet ; complexe ; pauvre ; faible ; maigre ; nourrir
riche.a 222 :: grand ; ancien ; bel ; important ; prospère ; bon ; vieux ; puissant ; nombreux ; vrai
riche.a 293 :: enrichir ; fort ; charger ; complexe ; généreux ; teneur ; intense ; rée ; nourrir ; concentrer
riche.a 294 :: enrichir ; fort ; enrichissant ; fécond ; charger ; remplir ; nourrir ; source ; ponctuer ; faire
riche.a 296 :: prolifique ; charger ; fournir ; fertile ; fort ; haut ; fécond ; marquer ; coûteux ; lourd
taper.v 28 :: tape ; tas ; bouffe ; coup ; gros ; triple ; rouge ; plein ; faire ; cash
taper.v 34 :: frappe ; lancer ; gagner ; mise ; appuyer ; attaque ; arriver ; tombe ; place ; joue
taper.v 76 :: donne ; paie ; trouver ; passer ; compte ; faire ; signe ; lâche ; donner ; demande
taper.v 82 :: colle ; prendre ; cogne ; payer ; mettre ; bouffe ; péter ; piqu ; plante ; battre
taper.v 83 :: savoir ; cherche ; connaître ; trouver ; dire ; continuer ; répondre ; travailler ; compte ; demande
taper.v 182 :: donne ; répéter ; frappe ; colle ; cher ; appuyer ; marteler ; joue ; ensuite ; expliquer
taper.v 221 :: frappe ; attaque ; touche ; casser ; cible ; piqu ; voir ; fou ; taire ; observer
taper.v 237 :: utiliser ; retrouver ; enregistrer ; obtenir ; trouver ; donne ; recevoir ; valide ; vérifier ; choisir
taper.v 249 :: danse ; tourne ; donne ; claque ; file ; colle ; pile ; frappe ; glisse ; cher
taper.v 259 :: noter ; ajouter ; compléter ; inscrire ; saisir ; voir ; consulter ; modifier ; utiliser ; ci-dessous
vaisseau.n 68 :: navire ; plan ; bateau ; station ; sous-marin ; voyage ; bâtiment ; avion ; véhicule ; groupe
vaisseau.n 91 :: génération ; enfant ; plan ; lieu ; âme ; homme ; connaissance ; ligne ; esprit ; tissu
vaisseau.n 104 :: cinéma ; film ; lycée ; gouvernement ; pays ; empire ; château ; bâtiment ; comité ; programme
vaisseau.n 122 :: petit ; service ; article ; construction ; logement ; organisme ; milliard ; vase ; innombrable ; moyen
vaisseau.n 190 :: navire ; véhicule ; sac ; module ; programme ; voyage ; ballon ; dossier ; système ; guide
vaisseau.n 193 :: organe ; construction ; cellule ; fondation ; artère ; ramification ; muscle ; caractéristique ; membre ; valve
vaisseau.n 238 :: article ; produit ; équipement ; joueur ; personnage ; ouvrage ; objet ; projet ; effet ; être
vaisseau.n 256 :: produit ; organe ; dernier ; membre ; participant ; associer ; sac ; capillaire ; véhicule ; service
vaisseau.n 270 :: navire ; aéronef ; engin ; voilier ; appareil ; bateau ; véhicule ; cargo ; paquebot ; être
vaisseau.n 274 :: navire ; groupe ; véhicule ; croiseur ; système ; engin ; module ; pouvoir ; corps ; virus
vaseux.a 3 :: bon ; aller ; faux ; voire ; gros ; vraiment ; loin ; fort ; franchement ; niveau
vaseux.a 4 :: entrer ; fin ; doux ; voire ; in ; aller ; vraiment ; faux ; frais ; parfaitement
vaseux.a 40 :: tian ; jean ; yang ; saint ; er ; an ; huer ; terra ; han ; voire
vaseux.a 53 :: calcaire ; géologique ; rocheux ; déjà ; humide ; extrêmement ; devenir ; organique ; meuble ; parfaitement
vaseux.a 62 :: mousseux ; vin ; inter ; limpide ; hautement ; double ; rouge ; bleu ; sélective ; neutre
vaseux.a 92 :: profond ; sauvage ; haut ; lever ; bas ; boisé ; frais ; propre ; rocheuse ; vert
vaseux.a 112 :: mal ; fatiguer ; malade ; mauvais ; nerveux ; déjà ; mieux ; frais ; partout ; gros
vaseux.a 124 :: fois ; part ; également ; sûr ; vrai ; loin ; pourtant ; compte ; venir ; rester
vaseux.a 216 :: moyennement ; bière ; bon ; légèrement ; coca ; passablement ; déjà ; bouche ; plat ; fort
vaseux.a 288 :: personnel ; professionnel ; électronique ; information ; participation ; technologique ; renseignement ; collectif ; internet ; social
