affection.n 8 :: développement ; territorial ; professionnel ; environnement ; enseignement ; international ; solidarité ; participation ; social ; éducation
montée.n 141 :: descente ; monte ; hausse ; progression ; courbe ; croissance ; transformation ; décroissance ; poussée ; chute
montée.n 153 :: pente ; descente ; vie ; route ; douleur ; montagne ; chute ; grimper ; progression ; neige
montée.n 189 :: vie ; lecture ; visite ; sécurité ; progression ; croissance ; promenade ; socialisation ; scolarisation ; récupération
montée.n 194 :: défense ; responsabilité ; promotion ; protection ; déclaration ; sécurité ; divulgation ; révélation ; mère ; législation
montée.n 250 :: suite ; veille ; descente ; chute ; côte ; poussée ; compression ; dernier ; journée ; peau
montée.n 285 :: tendance ; poussée ; évolution ; ascension ; croissance ; accession ; suite ; conversion ; victoire ; développement
obscur.a 22 :: curieux ; intéressant ; étrange ; ridicule ; absurde ; frapper ; paradoxal ; éclairer ; surprenant ; important
obscur.a 43 :: sombre ; mystérieux ; souterrain ; secret ; cacher ; profond ; noir ; supérieur ; nocturne ; improbable
obscur.a 61 :: sombre ; côté ; rebelle ; lumière ; cacher ; opposer ; profond ; ordre ; force ; ténébreux
obscur.a 74 :: sombre ; déserte ; profond ; muet ; incertain ; silencieux ; froid ; étroit ; allée ; pénible
obscur.a 95 :: inconnu ; sombre ; noble ; mineur ; ignorer ; profond ; vénérable ; honteux ; lointain ; mystérieux
obscur.a 165 :: étonnant ; limité ; faire ; juste ; important ; passer ; impressionnant ; clair ; intéressant ; incroyable
obscur.a 247 :: hermétique ; occulte ; sombre ; opaque ; secret ; muet ; incompréhensible ; profond ; superficiel ; cacher
obscur.a 255 :: sombre ; opaque ; secret ; mystérieux ; cacher ; incertain ; confus ; mystère ; douteux ; étrange
obscur.a 284 :: incertain ; confus ; sombre ; acquérir ; écrire ; établir ; compliqué ; intéressant ; inconnu ; hypothétique
obscur.a 295 :: sombre ; opaque ; couvert ; confus ; inconnu ; noir ; mystérieux ; innombrable ; parallèle ; transparent
riche.a 31 :: patrimoine ; diversifier ; également ; culturel ; extrêmement ; fort ; histoire ; fortement ; dynamique ; vraiment
riche.a 46 :: enrichissant ; complexe ; diversifier ; charger ; minéral ; intéressant ; fort ; enrichir ; intense ; patrimoine
riche.a 49 :: enrichir ; complexe ; fort ; charger ; dense ; large ; enrichissant ; remplir ; lourd ; complet
riche.a 102 :: fortuné ; enrichi ; heureux ; pauvre ; généreux ; privilégier ; milliardaire ; blanc ; aisé ; sportif
riche.a 118 :: développer ; pauvre ; industrialisé ; créancier ; malade ; occidental ; concerner ; faible ; avancé ; viser
riche.a 209 :: charger ; haut ; enrichir ; complet ; régulier ; pauvre ; maigre ; fournir ; dense ; consister
riche.a 222 :: grand ; bon ; important ; prospère ; bel ; fort ; nombreux ; petit ; puissant ; ancien
riche.a 293 :: enrichir ; complexe ; charger ; fort ; fournir ; développer ; dense ; nourrir ; généreux ; intense
riche.a 294 :: fort ; enrichir ; charger ; nourrir ; porteur ; faire ; naître ; remplir ; plein ; bel
riche.a 296 :: prolifique ; charger ; fournir ; fort ; fertile ; intense ; marquer ; dense ; haut ; lourd
taper.v 28 :: tape ; tas ; bouffe ; plein ; gros ; faire ; kick ; fa ; foutre ; chie
taper.v 34 :: frappe ; touche ; obtenir ; trouver ; plante ; lancer ; place ; appuyer ; donne ; double
taper.v 76 :: donner ; donne ; réserve ; marche ; partager ; proposer ; mettre ; répondre ; suffire ; nuit
taper.v 82 :: cogne ; colle ; prendre ; bouffe ; frappe ; balance ; claque ; péter ; bourre ; payer
taper.v 83 :: savoir ; compte ; travailler ; continuer ; marque ; connaître ; venir ; comprendre ; croire ; répondre
taper.v 182 :: donne ; expliquer ; enseigne ; apprendre ; étudier ; lit ; exécuter ; répéter ; effectuer ; présente
taper.v 221 :: frappe ; touche ; cogne ; donne ; piqu ; court ; coup ; attaque ; voir ; envoyer
taper.v 237 :: utiliser ; enregistrer ; obtenir ; choisir ; retrouver ; recevoir ; trouver ; place ; composer ; récupérer
taper.v 249 :: colle ; danse ; file ; camper ; passer ; piqu ; pose ; glisse ; frappe ; appuyer
taper.v 259 :: noter ; inscrire ; saisir ; utiliser ; ajouter ; voir ; modifier ; définir ; consulter ; donner
vaisseau.n 68 :: emplacement ; plan ; groupe ; pavillon ; laboratoire ; station ; conteneur ; système ; projet ; collection
vaisseau.n 91 :: transport ; corps ; navire ; homme ; entreprise ; esprit ; organe ; enfant ; montagne ; ligne
vaisseau.n 104 :: film ; cinéma ; monde ; futur ; théâtre ; roman ; groupe ; magazine ; projet ; système
vaisseau.n 122 :: petit ; commerce ; alimentaire ; profond ; service ; travail ; article ; ouvrage ; logement ; construction
vaisseau.n 190 :: corps ; module ; véhicule ; voyager ; centre ; spatial ; espace ; porte ; futur ; voyage
vaisseau.n 193 :: cellule ; organe ; artère ; propriété ; élément ; caractéristique ; muscle ; capteur ; composant ; instrument
vaisseau.n 238 :: article ; joueur ; personnage ; produit ; équipement ; objet ; compagnon ; effet ; être ; navire
vaisseau.n 256 :: dernier ; organe ; produit ; protocole ; constituant ; cas ; cours ; sanguin ; participant ; crédit
vaisseau.n 270 :: navire ; bateau ; bâtiment ; paquebot ; pétrolier ; corps ; conteneur ; cargo ; convoi ; engin
vaisseau.n 274 :: navire ; véhicule ; croiseur ; corps ; légion ; système ; générateur ; pilote ; portail ; module
vaseux.a 3 :: cul ; fort ; douteux ; bon ; super ; moyennement ; caca ; forcément ; bof ; franchement
vaseux.a 4 :: entrer ; fin ; doux ; sombre ; sale ; humide ; par ; propre ; aqueux ; épais
vaseux.a 40 :: profond ; entrer ; épais ; propre ; fin ; marin ; aqueux ; plat ; gris ; généralement
vaseux.a 53 :: géologique ; déjà ; autonome ; calcaire ; devenir ; meuble ; purement ; également ; vraiment ; fort
vaseux.a 62 :: rivière ; eau ; légèrement ; profond ; coupe ; fleuve ; tendance ; voire ; aller ; plein
vaseux.a 92 :: profond ; sauvage ; voisin ; lointainer ; rocheuse ; noir ; frais ; avoisinant ; propre ; long
vaseux.a 112 :: aller ; face ; ch ; os ; voir ; in ; docteur ; an ; oui ; côté
vaseux.a 124 :: do ; marier ; aller ; in ; louis ; joseph ; jean ; porto ; pierre ; répondit
vaseux.a 216 :: douteux ; faux ; superficiel ; vain ; creux ; vague ; lourd ; sembler ; idéologique ; gras
vaseux.a 288 :: professionnel ; conseiller ; réserve ; communication ; nouveau ; personnel ; information ; professeur ; bibliographie ; apprentissage
