affection.n 8 :: maladie ; affectation ; dernier ; ambition ; disposition ; tendresse ; occasion ; attaque ; amitié ; épreuve
montée.n 138 :: performance ; évolution ; gestion ; hausse ; croissance ; poussée ; puissance ; capacité ; progression ; vitesse
montée.n 141 :: monte ; mise ; descente ; hausse ; poussée ; baisse ; transition ; réduction ; progression ; transformation
montée.n 153 :: pente ; descente ; chute ; douleur ; suite ; route ; monte ; progression ; grimper ; côte
montée.n 189 :: progression ; vie ; croissance ; récupération ; descente ; conduite ; construction ; production ; randonnée ; grimper
montée.n 194 :: promotion ; fin ; révélation ; vérité ; chose ; construction ; réalité ; chute ; réalisation ; législation
montée.n 250 :: descente ; suite ; chute ; progression ; côte ; pente ; montagne ; poussée ; hausse ; baisse
montée.n 285 :: croissance ; ascension ; tendance ; accession ; poussée ; évolution ; participation ; conversion ; descente ; suite
obscur.a 22 :: sombre ; ambigu ; côté ; mystérieux ; honteux ; peut-être ; discret ; demeurer ; étrange ; paradoxal
obscur.a 43 :: sombre ; souterrain ; cacher ; noir ; nocturne ; mystérieux ; naturel ; flou ; secret ; transparent
obscur.a 61 :: sombre ; opposer ; côté ; adverse ; américain ; coté ; ennemi ; officiel ; profond ; gré
obscur.a 74 :: déserte ; sombre ; tranquille ; close ; solitaire ; aveugle ; interdire ; inconnu ; éclairer ; allée
obscur.a 95 :: profond ; noble ; sombre ; inconnu ; fort ; inférieur ; supérieur ; discret ; honteux ; invisible
obscur.a 165 :: important ; limité ; flou ; juste ; opaque ; bas ; clair ; réel ; faible ; faire
obscur.a 247 :: sombre ; opaque ; hermétique ; froid ; étranger ; énigmatique ; incertain ; étrange ; confus ; mystérieux
obscur.a 255 :: mystérieux ; secret ; incertain ; sombre ; flou ; inconnu ; opaque ; hermétique ; énigmatique ; confus
obscur.a 284 :: confus ; incertain ; sombre ; inconnu ; établir ; hypothétique ; abstraire ; limpide ; acquérir ; flou
obscur.a 295 :: sombre ; inconnu ; ténébreux ; mystérieux ; noir ; opaque ; profond ; confus ; ignorer ; bleu
riche.a 31 :: fort ; formidable ; grand ; haut ; magnifique ; prolifique ; déjà ; vaste ; important ; double
riche.a 46 :: complexe ; intéressant ; enrichir ; important ; varier ; charger ; enrichissant ; minéral ; magnifique ; diversifier
riche.a 49 :: complexe ; vivant ; enrichir ; développer ; large ; enrichissant ; charger ; généreux ; religieux ; fort
riche.a 102 :: fortuné ; heureux ; privilégier ; enrichi ; pauvre ; généreux ; malade ; gagnant ; religieux ; expert
riche.a 118 :: développer ; pauvre ; industrialisé ; excédentaire ; avancé ; malade ; industriel ; faible ; producteur ; concerner
riche.a 209 :: charger ; enrichir ; fournir ; haut ; régulier ; consister ; dense ; nourrir ; généreux ; prolifique
riche.a 222 :: grand ; ancien ; bon ; bel ; important ; nombreux ; élégant ; honorable ; fort ; prospère
riche.a 293 :: enrichir ; charger ; complexe ; fort ; développer ; fournir ; marquer ; léger ; dense ; pauvre
riche.a 294 :: enrichir ; fort ; charger ; enrichissant ; marquer ; remplir ; accompagner ; fécond ; profond ; dense
riche.a 296 :: fournir ; charger ; prolifique ; pauvre ; haut ; fort ; fertile ; marquer ; généreux ; lourd
taper.v 28 :: tape ; foutre ; bouffe ; mettre ; shooter ; prendre ; chier ; chie ; tartiner ; kick
taper.v 34 :: frappe ; appuyer ; lancer ; clique ; touche ; colle ; rush ; joue ; repose ; pose
taper.v 76 :: donne ; donner ; réserve ; classe ; laisse ; faire ; passer ; mettre ; proposer ; nommer
taper.v 82 :: colle ; battre ; cogne ; passer ; trouver ; payer ; lancer ; plante ; piqu ; fiche
taper.v 83 :: savoir ; frappe ; compte ; trouver ; marque ; passer ; connaître ; dire ; travailler ; croire
taper.v 182 :: donne ; expliquer ; apprendre ; enseigne ; joue ; exécuter ; répéter ; présente ; cher ; lit
taper.v 221 :: frappe ; attaque ; taire ; touche ; attirer ; abattre ; piqu ; chasse ; distance ; casser
taper.v 237 :: choisir ; utiliser ; composer ; enregistrer ; trouver ; place ; valide ; créer ; passer ; obtenir
taper.v 249 :: frappe ; colle ; cogne ; donne ; couche ; frotte ; appuyer ; touche ; imprimer ; cote
taper.v 259 :: noter ; saisir ; inscrire ; simplement ; ci-dessous ; écrire ; ajouter ; ici ; compléter ; entrer
vaisseau.n 68 :: système ; navire ; programme ; conteneur ; groupe ; tunnel ; plan ; avion ; bâtiment ; étoile
vaisseau.n 91 :: enfant ; navire ; homme ; pilier ; fondation ; esprit ; article ; terrain ; île ; organe
vaisseau.n 104 :: film ; cinéma ; code ; projet ; système ; empire ; programme ; théâtre ; navire ; comité
vaisseau.n 122 :: petit ; puits ; logement ; fort ; vase ; service ; ouvrage ; organisme ; article ; rocher
vaisseau.n 190 :: sac ; programme ; plan ; matériel ; roman ; module ; bagage ; fichier ; véhicule ; coeur
vaisseau.n 193 :: cellule ; valve ; artère ; organe ; fondation ; structure ; muscle ; capteur ; anticorp ; mécanisme
vaisseau.n 238 :: équipement ; article ; produit ; prestataire ; service ; bien ; appareil ; travail ; objet ; morceau
vaisseau.n 256 :: dernier ; muscle ; sanguin ; organe ; système ; produit ; participant ; cellulaire ; droit ; membre
vaisseau.n 270 :: navire ; voilier ; bateau ; aéronef ; cargo ; croiseur ; conteneur ; véhicule ; engin ; enclin
vaisseau.n 274 :: navire ; corps ; groupe ; véhicule ; système ; croiseur ; programme ; commandement ; cheval ; dragon
vaseux.a 3 :: aller ; eau ; bon ; venir ; vite ; vieux ; vin ; çà ; reston ; fin
vaseux.a 4 :: aller ; doux ; voire ; bon ; pourtant ; devenir ; loin ; entrer ; autant ; généralement
vaseux.a 40 :: plat ; sous-marin ; profond ; meuble ; rocheux ; marin ; fonds ; calme ; étroit ; creux
vaseux.a 53 :: intermédiaire ; géologique ; propre ; calcaire ; héréditaire ; commun ; autonome ; contenir ; pratique ; payant
vaseux.a 62 :: pal ; doux ; sensuel ; blonde ; aqueux ; léger ; légèrement ; pop ; sexuel ; moyennement
vaseux.a 92 :: montagne ; profond ; relation ; vallée ; petit ; doux ; propre ; raison ; pays ; entrer
vaseux.a 112 :: mal ; lent ; léger ; mauvais ; loin ; fatiguer ; rapidement ; déjà ; également ; aller
vaseux.a 124 :: pourtant ; fois ; également ; aller ; loin ; partout ; marier ; naturellement ; sûr ; petit
vaseux.a 216 :: grossier ; mou ; creux ; eau ; superficiel ; voire ; comparaison ; aller ; douteux ; sembler
vaseux.a 288 :: information ; professionnel ; produit ; internet ; renseignement ; participation ; investisseur ; commentaire ; entreprise ; développement
