affection.n 8 :: occasion ; maladie ; disposition ; dernier ; époque ; considération ; institution ; affectation ; extrémité ; famille
montée.n 141 :: monte ; descente ; hausse ; poussée ; courbe ; progression ; mise ; chute ; croissance ; baisse
montée.n 153 :: côte ; descente ; ascension ; monte ; victoire ; douleur ; montagne ; chute ; course ; dernier
montée.n 189 :: vie ; lecture ; visite ; conduite ; sécurité ; croissance ; pratique ; scolarisation ; culture ; baignade
montée.n 194 :: promotion ; vérité ; construction ; législation ; dynamique ; venir ; chaîne ; réalité ; fin ; chose
montée.n 250 :: descente ; suite ; poussée ; côte ; tendance ; ascension ; journée ; direction ; chute ; dernier
montée.n 285 :: tendance ; évolution ; croissance ; ascension ; poussée ; progression ; descente ; accession ; chute ; politique
obscur.a 22 :: étrange ; ridicule ; paradoxal ; curieux ; absurde ; bizarre ; singulier ; profond ; étonnant ; surprenant
obscur.a 43 :: sombre ; cacher ; mystérieux ; secret ; noir ; froid ; stratégique ; souterrain ; invisible ; nocturne
obscur.a 61 :: sombre ; opposer ; ordre ; ennemi ; cacher ; gauche ; côté ; profond ; coté ; adverse
obscur.a 74 :: sombre ; déserte ; allée ; close ; éclairer ; muet ; incertain ; noir ; plate ; limpide
obscur.a 95 :: inconnu ; noble ; sombre ; puissant ; glorieux ; voir ; illustre ; noir ; fort ; honteux
obscur.a 165 :: flou ; passer ; important ; limité ; gratuit ; clair ; évident ; faible ; bas ; faire
obscur.a 247 :: hermétique ; secret ; opaque ; abstraire ; confus ; aride ; sombre ; sec ; froid ; muet
obscur.a 255 :: secret ; incertain ; sombre ; flou ; opaque ; mystérieux ; hermétique ; indéterminé ; énigmatique ; confus
obscur.a 284 :: confus ; opaque ; intéressant ; sombre ; incertain ; hermétique ; illisible ; inquiétant ; établir ; complexe
obscur.a 295 :: sombre ; noir ; profond ; ténébreux ; souterrain ; bleu ; inconnu ; mystérieux ; transparent ; nocturne
riche.a 31 :: enrichissant ; haut ; formidable ; réel ; fort ; fécond ; prolifique ; fertile ; généreux ; patrimoine
riche.a 46 :: enrichissant ; diversifier ; complexe ; minéral ; développer ; visiter ; fertile ; patrimoine ; charger ; marquer
riche.a 49 :: complexe ; large ; enrichir ; lumineux ; généreux ; développer ; vivant ; corps ; brillant ; dense
riche.a 102 :: fortuné ; aisé ; enrichi ; privilégier ; pauvre ; heureux ; nanti ; grand ; milliardaire ; généreux
riche.a 118 :: développer ; pauvre ; industrialisé ; concerner ; donateur ; faible ; climatique ; malade ; industriel ; pays
riche.a 209 :: charger ; haut ; enrichir ; complet ; fournir ; régulier ; complexe ; faible ; généreux ; contenir
riche.a 222 :: grand ; bel ; ancien ; important ; bon ; puissant ; prospère ; petit ; nombreux ; vrai
riche.a 293 :: enrichir ; complexe ; charger ; fort ; fournir ; généreux ; concentrer ; développer ; nourrir ; profond
riche.a 294 :: enrichir ; fort ; charger ; enrichissant ; marquer ; lourd ; porteur ; fécond ; nourrir ; remplir
riche.a 296 :: haut ; prolifique ; fournir ; charger ; fort ; marquer ; pauvre ; remplir ; fertile ; lourd
taper.v 28 :: tape ; bouffe ; foutre ; chie ; tas ; plein ; mettre ; bouffer ; gros ; chier
taper.v 34 :: travailler ; frappe ; colle ; cher ; dire ; grave ; passer ; sec ; fond ; force
taper.v 76 :: passer ; donne ; con ; marrant ; trouver ; taire ; faire ; paie ; ben ; payer
taper.v 82 :: fiche ; foutre ; donne ; montre ; colle ; cogne ; trouver ; tourne ; mettre ; falloir
taper.v 83 :: savoir ; continuer ; travailler ; répondre ; comprendre ; connaître ; recevoir ; cherche ; trouver ; croire
taper.v 182 :: frappe ; punch ; durement ; dur ; kick ; venir ; force ; pressure ; face ; main
taper.v 221 :: frappe ; bouffe ; piqu ; chasse ; voir ; casser ; attrape ; touche ; cible ; attaque
taper.v 237 :: utiliser ; enregistrer ; obtenir ; trouver ; retrouver ; frappe ; recevoir ; passer ; choisir ; composer
taper.v 249 :: frappe ; cogne ; claque ; colle ; donne ; face ; rentrer ; appuyer ; frotte ; couche
taper.v 259 :: noter ; saisir ; simplement ; inscrire ; utiliser ; ici ; également ; ajouter ; ci-dessous ; voir
vaisseau.n 68 :: plan ; navire ; bâtiment ; planète ; système ; emplacement ; environnement ; petit ; projet ; groupe
vaisseau.n 91 :: ligne ; tête ; homme ; transport ; esprit ; femme ; fonction ; enfant ; sujet ; génération
vaisseau.n 104 :: gouvernement ; monde ; pays ; domaine ; partir ; lycée ; corps ; village ; peuple ; bâtiment
vaisseau.n 122 :: petit ; service ; logement ; nombre ; organisme ; tissu ; rocher ; jardin ; ouvrage ; produit
vaisseau.n 190 :: corps ; plan ; sac ; véhicule ; paquet ; navire ; coeur ; projectile ; module ; coffre
vaisseau.n 193 :: valve ; artère ; cellule ; organe ; connexion ; canal ; muscle ; capteur ; tissu ; fibre
vaisseau.n 238 :: article ; produit ; titre ; personnage ; joueur ; apport ; navire ; compagnon ; état ; effet
vaisseau.n 256 :: sanguin ; produit ; dernier ; organe ; système ; tissu ; sac ; médicament ; cas ; taux
vaisseau.n 270 :: navire ; bateau ; voilier ; véhicule ; cargo ; engin ; aéronef ; porte-avions ; équipage ; conteneur
vaisseau.n 274 :: navire ; croiseur ; nouveau ; peuple ; pilote ; commandant ; engin ; seigneur ; trésor ; groupe
vaseux.a 3 :: douteux ; cul ; capillaire ; superficiel ; bit ; sembler ; vain ; caca ; gag ; léger
vaseux.a 4 :: voire ; vraiment ; bon ; propre ; entrer ; asse ; long ; tueur ; doux ; fin
vaseux.a 40 :: doux ; gris ; humide ; voire ; légèrement ; sombre ; entrer ; profond ; sec ; transparent
vaseux.a 53 :: géologique ; intermédiaire ; calcaire ; montagneux ; rocheux ; extrêmement ; organique ; autonome ; comprendre ; fertile
vaseux.a 62 :: légèrement ; eau ; léger ; faussement ; neutre ; naturellement ; pal ; rosé ; peau ; solaire
vaseux.a 92 :: petit ; également ; fort ; local ; rester ; vraiment ; propre ; raison ; bon ; profond
vaseux.a 112 :: gras ; mauvais ; légèrement ; fatiguer ; mal ; gros ; bouché ; fort ; vraiment ; propre
vaseux.a 124 :: aller ; part ; loin ; don ; jean ; jamais ; rester ; faux ; bon ; joseph
vaseux.a 216 :: vain ; faux ; douteux ; superficiel ; creux ; facile ; sembler ; long ; vague ; théorique
vaseux.a 288 :: nouveau ; information ; gouvernement ; participation ; présidentielle ; politique ; renseignement ; élection ; complémentaire ; dernier
