affection.n 8 :: dernier ; disposition ; occasion ; maladie ; considération ; institution ; famille ; affectation ; opération ; époque
montée.n 75 :: monte ; descente ; suite ; balade ; face ; grâce ; journée ; ascension ; entrée ; chute
montée.n 138 :: gestion ; performance ; évolution ; hausse ; progression ; poussée ; croissance ; monte ; complexité ; puissance
montée.n 141 :: descente ; monte ; progression ; courbe ; poussée ; dégradation ; transformation ; hausse ; croissance ; fonte
montée.n 153 :: pente ; descente ; monte ; côte ; douleur ; chute ; route ; ascension ; grimper ; randonnée
montée.n 189 :: vie ; sécurité ; descente ; conduite ; progression ; randonnée ; lecture ; visite ; pratique ; croissance
montée.n 194 :: promotion ; présentation ; révélation ; vérité ; fin ; réalisation ; construction ; chose ; loi ; progression
montée.n 250 :: suite ; descente ; veille ; chute ; côte ; montagne ; route ; poussée ; plupart ; journée
montée.n 285 :: poussée ; ascension ; tendance ; croissance ; évolution ; progression ; développement ; accession ; conversion ; politique
obscur.a 22 :: confus ; étrange ; mystérieux ; profond ; absurde ; bizarre ; ridicule ; paradoxal ; relatif ; curieux
obscur.a 43 :: sombre ; cacher ; souterrain ; noir ; mystérieux ; secret ; enfouir ; nocturne ; recoin ; profond
obscur.a 61 :: sombre ; opposer ; côté ; américain ; adverse ; profond ; coté ; officiel ; indien ; ordre
obscur.a 74 :: sombre ; déserte ; incertain ; muet ; noir ; aveugle ; interdire ; close ; cacher ; silencieux
obscur.a 95 :: inconnu ; sombre ; honteux ; noir ; ignorer ; noble ; discret ; fort ; aimer ; profond
obscur.a 165 :: flou ; opaque ; juste ; passer ; limité ; étonnant ; faible ; secret ; important ; évident
obscur.a 247 :: hermétique ; sombre ; opaque ; incertain ; abstraire ; secret ; occulte ; étranger ; incompréhensible ; aride
obscur.a 255 :: secret ; mystérieux ; opaque ; sombre ; incertain ; énigme ; hermétique ; flou ; inconnu ; mystère
obscur.a 284 :: confus ; opaque ; incertain ; sombre ; limpide ; illisible ; intéressant ; inconnu ; mystérieux ; incompréhensible
obscur.a 295 :: sombre ; noir ; opaque ; transparent ; inconnu ; ténébreux ; nocturne ; profond ; mystérieux ; bleu
riche.a 31 :: haut ; enrichissant ; important ; formidable ; fort ; réel ; précieux ; magnifique ; prolifique ; vrai
riche.a 46 :: complexe ; charger ; enrichissant ; diversifier ; développer ; important ; enrichir ; intéressant ; marquer ; visiter
riche.a 49 :: enrichir ; dense ; complexe ; complet ; large ; charger ; enrichissant ; détailler ; fort ; lourd
riche.a 102 :: fortuné ; enrichi ; heureux ; pauvre ; privilégier ; aisé ; généreux ; grand ; milliardaire ; sportif
riche.a 118 :: pauvre ; développer ; industrialisé ; faible ; producteur ; avancé ; excédentaire ; donateur ; concerner ; créancier
riche.a 209 :: charger ; régulier ; enrichir ; haut ; complexe ; fournir ; complet ; nourrir ; généreux ; dense
riche.a 222 :: grand ; bel ; prospère ; bon ; important ; ancien ; nombreux ; fort ; puissant ; célèbre
riche.a 293 :: enrichir ; complexe ; charger ; fort ; développer ; rée ; marquer ; teneur ; généreux ; intense
riche.a 294 :: enrichir ; fort ; charger ; enrichissant ; remplir ; fécond ; accompagner ; marquer ; révélateur ; porteur
riche.a 296 :: charger ; prolifique ; fournir ; fort ; haut ; dense ; intense ; fertile ; marquer ; lourd
taper.v 28 :: tape ; bouffe ; tas ; plein ; chier ; chie ; coup ; gros ; foutre ; tirer
taper.v 34 :: frappe ; touche ; cherche ; travailler ; appuyer ; clique ; trouver ; recherche ; dire ; repose
taper.v 76 :: donne ; paie ; passer ; réserve ; payer ; trouver ; donner ; faire ; tenir ; classe
taper.v 82 :: colle ; cogne ; battre ; trouver ; payer ; frappe ; prendre ; paie ; lancer ; balance
taper.v 83 :: savoir ; cherche ; connaître ; travailler ; dire ; continuer ; comprendre ; marque ; répondre ; répéter
taper.v 182 :: frappe ; donne ; place ; lit ; travailler ; cher ; composer ; écrire ; dicter ; imprimer
taper.v 221 :: frappe ; touche ; cogne ; attaque ; piqu ; casser ; taire ; cible ; baisse ; repousse
taper.v 237 :: composer ; utiliser ; choisir ; enregistrer ; place ; saisir ; obtenir ; passer ; trouver ; valide
taper.v 249 :: frappe ; danse ; colle ; donne ; appuyer ; touche ; pile ; tourne ; cher ; cogne
taper.v 259 :: saisir ; noter ; inscrire ; ajouter ; compléter ; utiliser ; entrer ; voir ; modifier ; indiquer
vaisseau.n 68 :: navire ; bateau ; plan ; conteneur ; voyage ; système ; station ; sujet ; bâtiment ; sous-marin
vaisseau.n 91 :: navire ; construction ; corps ; bâtiment ; transport ; organe ; objet ; ouvrage ; rocher ; article
vaisseau.n 104 :: navire ; monde ; futur ; système ; film ; groupe ; gouvernement ; lycée ; fleuve ; domaine
vaisseau.n 122 :: petit ; logement ; article ; moyen ; service ; organisme ; corps ; château ; ouvrage ; construction
vaisseau.n 190 :: véhicule ; navire ; module ; programme ; voyage ; corps ; système ; sac ; centre ; engin
vaisseau.n 193 :: artère ; cellule ; valve ; organe ; canal ; capteur ; connexion ; muscle ; anticorp ; élément
vaisseau.n 238 :: article ; joueur ; équipement ; produit ; navire ; ouvrage ; objet ; personnage ; projet ; moyen
vaisseau.n 256 :: dernier ; produit ; sanguin ; organe ; véhicule ; cellulaire ; participant ; système ; capillaire ; constituant
vaisseau.n 270 :: navire ; bateau ; véhicule ; conteneur ; bâtiment ; paquebot ; voilier ; engin ; pétrolier ; avion
vaisseau.n 274 :: navire ; véhicule ; bateau ; croiseur ; module ; corps ; groupe ; peuple ; engin ; yacht
vaseux.a 3 :: superficiel ; douteux ; bidon ; cul ; plat ; facile ; catastrophe ; vite ; pareil ; trouver
vaseux.a 4 :: entrer ; voire ; confus ; plat ; purement ; aller ; bof ; sale ; douteux ; gris
vaseux.a 40 :: plat ; profond ; sous-marin ; meuble ; marin ; fonds ; rocheux ; étroit ; propre ; aquatique
vaseux.a 53 :: meuble ; fort ; géologique ; calcaire ; organique ; humide ; rocheux ; extrêmement ; déjà ; fertile
vaseux.a 62 :: léger ; joyeux ; légèrement ; obscur ; incertain ; morose ; sombre ; aqueux ; politique ; pal
vaseux.a 92 :: profond ; propre ; superficiel ; frais ; doux ; petit ; navigable ; mort ; tranquille ; lointainer
vaseux.a 112 :: bouché ; mal ; gros ; gras ; mauvais ; malade ; propre ; fatiguer ; vite ; partout
vaseux.a 124 :: bon ; aller ; excellent ; fort ; petit ; également ; mauvais ; prochain ; jeune ; pays
vaseux.a 216 :: superficiel ; plat ; creux ; douteux ; sembler ; vain ; bidon ; vague ; bas ; sale
vaseux.a 288 :: participation ; personnel ; consommation ; surprenant ; internet ; promotionnel ; automatique ; professionnel ; communication ; prochain
