affection.n 8 :: tentation ; dernier ; épreuve ; idée ; passion ; résolution ; émotion ; mode ; torture ; nouveau
montée.n 153 :: concurrence ; course ; compétition ; bataille ; pente ; tâche ; descente ; lutte ; route ; campagne
montée.n 189 :: représenter ; présenter ; faire ; mouvoir ; dégager ; comprendre ; prendre ; situation ; diriger ; partager
montée.n 194 :: pression ; situation ; nécessité ; violence ; force ; loi ; fois ; justice ; menace ; preuve
montée.n 250 :: force ; suite ; paix ; victoire ; tradition ; mer ; lutte ; famille ; mère ; main
montée.n 285 :: participation ; course ; victoire ; renonciation ; résistance ; présence ; réaction ; dépendance ; coalition ; crise
obscur.a 22 :: intéressant ; brillant ; important ; grand ; curieux ; bon ; étrange ; paradoxal ; puissant ; merveilleux
obscur.a 43 :: aérien ; public ; électrique ; priver ; local ; perdre ; canadien ; libre ; maritime ; portable
obscur.a 61 :: opposer ; sombre ; positif ; masculin ; droit ; féminin ; adverse ; ouest ; gauche ; côté
obscur.a 74 :: dégager ; tracée ; long ; libre ; terminer ; couper ; faire ; fermé ; parcourir ; prise
obscur.a 95 :: politique ; riche ; pauvre ; noble ; grand ; vertueux ; puissant ; jeune ; heureux ; illustre
obscur.a 165 :: faire ; fait ; prix ; cours ; produit ; terminer ; vendre ; vendeur ; recevoir ; effectuer
obscur.a 247 :: matérialiste ; aride ; absurde ; stupide ; stérile ; inutile ; froid ; grossier ; superficiel ; dur
obscur.a 255 :: humaine ; divin ; germanique ; africain ; géographique ; celtique ; social ; européen ; religieux ; culturel
obscur.a 284 :: confus ; complexe ; compliqué ; flou ; charger ; user ; incomplet ; chaotique ; affaiblir ; défaire
obscur.a 295 :: plein ; noir ; charger ; épais ; bleu ; remplir ; mêler ; froid ; clair ; blanc
riche.a 31 :: haut ; grand ; important ; magnifique ; formidable ; excellent ; immense ; vaste ; superbe ; véritable
riche.a 46 :: dense ; diversifier ; vaste ; peupler ; compact ; isolé ; protéger ; sélectif ; éloigner ; étendre
riche.a 49 :: noir ; blanc ; épais ; haut ; rouge ; gras ; cuir ; homme ; marron ; papier
riche.a 102 :: heureux ; normal ; ici ; fortuné ; aisé ; pauvre ; fort ; puissant ; grand ; marié
riche.a 118 :: isolé ; pauvre ; développer ; européen ; industrialisé ; périphérique ; unir ; voisin ; indépendant ; avancé
riche.a 209 :: pauvre ; faible ; charger ; gourmand ; fort ; pourvoir ; élevé ; abondant ; contenu ; fournir
riche.a 222 :: grand ; noble ; bon ; vieux ; nombreux ; ancien ; bel ; long ; petit ; puissant
riche.a 293 :: enrichir ; concentrer ; équilibré ; enrichi ; parfumer ; renforcer ; formulée ; teneur ; alléger ; fort
riche.a 294 :: destructeur ; dénué ; priver ; compliqué ; détourner ; vide ; dépourvu ; accompagner ; loin ; indigne
riche.a 296 :: pauvre ; charger ; fournir ; fertile ; fort ; gourmand ; avare ; généreux ; abondant ; gagner
taper.v 28 :: froid ; tirer ; tape ; tire ; plaqu ; faire ; rouge ; claque ; vinaigre ; mal
taper.v 34 :: marque ; joue ; progresser ; tire ; regarde ; rentrer ; relance ; frappe ; récupérer ; pousse
taper.v 76 :: lever ; partager ; prendre ; donne ; juge ; comprendre ; retirer ; offrir ; mettre ; limiter
taper.v 82 :: servir ; prendre ; passer ; repasser ; procure ; cherche ; mettre ; composer ; préparer ; colle
taper.v 83 :: passer ; joue ; progresser ; évoluer ; moyen ; jeu ; travailler ; gérer ; poste ; bref
taper.v 182 :: enseigne ; apprendre ; étudier ; donne ; travailler ; préparer ; expliquer ; applique ; transmettre ; mettre
taper.v 221 :: frappe ; taire ; éviter ; attaque ; bloquer ; sauf ; repousse ; attirer ; éliminer ; viser
taper.v 237 :: retrouver ; appeler ; recevoir ; arriver ; échange ; reprendre ; atteindre ; attendre ; rencontre ; laisse
taper.v 249 :: venir ; joue ; fond ; saute ; arriver ; tombe ; finir ; monte ; nage ; grimper
taper.v 259 :: citer ; utiliser ; employer ; soumettre ; lire ; faire ; descendre ; vouloir ; trouver ; respecter
vaisseau.n 68 :: peine ; meilleur ; demi ; mauvais ; prison ; maison ; mal ; souffrance ; lieu ; perdre
vaisseau.n 91 :: homme ; femme ; nerf ; table ; second ; corps ; temps ; force ; résultat ; moyen
vaisseau.n 104 :: guide ; désordre ; retard ; tard ; style ; présent ; bain ; délai ; courant ; ordre
vaisseau.n 122 :: détail ; point ; espace ; groupe ; bout ; mot ; petit ; ensemble ; carré ; jeu
vaisseau.n 190 :: sac ; matériel ; coffre ; journal ; véhicule ; livre ; kit ; module ; carnet ; coffret
vaisseau.n 193 :: soin ; acteur ; lien ; cellule ; enfant ; parent ; muscle ; femme ; membre ; professionnel
vaisseau.n 238 :: mot ; homme ; pointe ; chose ; pied ; épaule ; saut ; extrémité ; oreille ; épée
vaisseau.n 256 :: frein ; acteur ; temps ; premier ; seconde ; médecin ; pompe ; lien ; enzyme ; agent
vaisseau.n 270 :: navire ; bateau ; homme ; voilier ; paquebot ; naufrage ; animal ; bord ; jour ; canot
vaisseau.n 274 :: robot ; costume ; monstre ; véhicule ; personnage ; sous-marin ; générateur ; puzzle ; navire ; chasseur
vaseux.a 3 :: blague ; nul ; douteux ; grossier ; gras ; caca ; imbécile ; idiot ; sexiste ; stupide
vaseux.a 4 :: vague ; empirique ; confus ; particulier ; entrer ; incertain ; mystérieux ; flou ; bizarre ; abstraire
vaseux.a 40 :: meuble ; plat ; marin ; rocheux ; fonds ; fond ; sous-marin ; mou ; vague ; sec
vaseux.a 53 :: rocheux ; reposer ; lier ; difficile ; compact ; horizontal ; élevé ; titan ; emporter ; accidenté
vaseux.a 62 :: joueur ; méchant ; chasse ; léger ; joyeux ; sérieux ; pal ; morose ; gai ; fort
vaseux.a 92 :: baie ; profond ; rocheuse ; boisé ; abondant ; noir ; vitrée ; viticole ; maritime ; découper
vaseux.a 112 :: presque ; solidaire ; étranger ; vraiment ; abandonner ; mi ; rejeter ; supérieur ; entrer ; au-dessus
vaseux.a 124 :: donner ; forcer ; finalement ; petit ; général ; mécanique ; livrer ; tour ; obtenir ; imposer
vaseux.a 216 :: abstrait ; faux ; fou ; vain ; polémique ; sombre ; binaire ; théorique ; obscur ; idéologique
vaseux.a 288 :: donner ; entier ; demande ; ensemble ; être ; rendre ; coller ; divin ; version ; tourne
