affection.n 8 :: occasion ; disposition ; maladie ; dernier ; extrémité ; considération ; époque ; institution ; affectation ; opération
montée.n 75 :: monte ; descente ; suite ; balade ; face ; journée ; ascension ; grâce ; chute ; entrée
montée.n 138 :: gestion ; performance ; évolution ; hausse ; poussée ; croissance ; monte ; progression ; complexité ; puissance
montée.n 141 :: descente ; monte ; courbe ; progression ; poussée ; dégradation ; hausse ; transformation ; croissance ; fonte
montée.n 153 :: pente ; descente ; monte ; côte ; douleur ; chute ; ascension ; route ; randonnée ; grimper
montée.n 189 :: vie ; descente ; conduite ; sécurité ; progression ; lecture ; randonnée ; visite ; pratique ; croissance
montée.n 194 :: promotion ; vérité ; fin ; chose ; réalisation ; progression ; présentation ; révélation ; construction ; loi
montée.n 250 :: descente ; suite ; veille ; chute ; côte ; montagne ; progression ; poussée ; dernier ; journée
montée.n 285 :: poussée ; ascension ; croissance ; tendance ; évolution ; progression ; développement ; accession ; politique ; conversion
obscur.a 22 :: confus ; étrange ; profond ; mystérieux ; absurde ; ridicule ; bizarre ; paradoxal ; honteux ; relatif
obscur.a 43 :: sombre ; cacher ; mystérieux ; souterrain ; noir ; secret ; enfouir ; nocturne ; couvert ; recoin
obscur.a 61 :: sombre ; opposer ; côté ; américain ; adverse ; coté ; profond ; officiel ; indien ; ordre
obscur.a 74 :: sombre ; déserte ; incertain ; noir ; muet ; interdire ; aveugle ; close ; cacher ; silencieux
obscur.a 95 :: inconnu ; sombre ; honteux ; noir ; ignorer ; discret ; noble ; fort ; aimer ; profond
obscur.a 165 :: flou ; opaque ; juste ; limité ; passer ; étonnant ; secret ; important ; faible ; évident
obscur.a 247 :: hermétique ; sombre ; opaque ; incertain ; occulte ; secret ; abstraire ; incompréhensible ; étranger ; confus
obscur.a 255 :: secret ; mystérieux ; opaque ; sombre ; énigme ; incertain ; hermétique ; flou ; mystère ; inconnu
obscur.a 284 :: confus ; opaque ; incertain ; sombre ; inconnu ; limpide ; mystérieux ; illisible ; incompréhensible ; intéressant
obscur.a 295 :: sombre ; noir ; opaque ; transparent ; inconnu ; nocturne ; profond ; mystérieux ; ténébreux ; bleu
riche.a 31 :: haut ; enrichissant ; formidable ; important ; fort ; réel ; précieux ; magnifique ; prolifique ; développer
riche.a 46 :: complexe ; charger ; enrichissant ; diversifier ; enrichir ; développer ; intéressant ; important ; marquer ; réussir
riche.a 49 :: enrichir ; dense ; complexe ; complet ; large ; charger ; fort ; enrichissant ; remplir ; lourd
riche.a 102 :: fortuné ; enrichi ; heureux ; pauvre ; privilégier ; généreux ; aisé ; grand ; milliardaire ; extraordinaire
riche.a 118 :: pauvre ; développer ; industrialisé ; faible ; producteur ; excédentaire ; avancé ; concerner ; créancier ; enrichi
riche.a 209 :: charger ; régulier ; haut ; enrichir ; complexe ; fournir ; complet ; maigre ; dense ; nourrir
riche.a 222 :: grand ; bel ; bon ; prospère ; important ; ancien ; nombreux ; fort ; puissant ; vrai
riche.a 293 :: enrichir ; complexe ; charger ; fort ; rée ; développer ; marquer ; teneur ; généreux ; fournir
riche.a 294 :: enrichir ; fort ; charger ; enrichissant ; remplir ; fécond ; accompagner ; marquer ; révélateur ; porteur
riche.a 296 :: charger ; prolifique ; fournir ; haut ; fort ; dense ; intense ; marquer ; fertile ; lourd
taper.v 28 :: tape ; bouffe ; tas ; plein ; chier ; chie ; gros ; coup ; foutre ; tirer
taper.v 34 :: frappe ; touche ; cherche ; clique ; travailler ; appuyer ; recherche ; dire ; trouver ; repose
taper.v 76 :: donne ; paie ; passer ; réserve ; payer ; trouver ; donner ; faire ; compte ; tenir
taper.v 82 :: colle ; cogne ; battre ; trouver ; frappe ; payer ; paie ; lancer ; prendre ; vouloir
taper.v 83 :: savoir ; cherche ; dire ; travailler ; connaître ; continuer ; répondre ; répéter ; marque ; comprendre
taper.v 182 :: frappe ; donne ; place ; lit ; cher ; composer ; travailler ; écrire ; dicter ; imprimer
taper.v 221 :: frappe ; cogne ; touche ; piqu ; casser ; attaque ; taire ; cible ; frapper ; baisse
taper.v 237 :: composer ; utiliser ; choisir ; place ; enregistrer ; saisir ; obtenir ; trouver ; passer ; valide
taper.v 249 :: frappe ; danse ; colle ; appuyer ; donne ; tourne ; pile ; touche ; cogne ; cher
taper.v 259 :: saisir ; noter ; inscrire ; ajouter ; compléter ; utiliser ; entrer ; voir ; modifier ; indiquer
vaisseau.n 68 :: navire ; bateau ; plan ; conteneur ; voyage ; système ; station ; sujet ; plongée ; groupe
vaisseau.n 91 :: navire ; construction ; corps ; transport ; bâtiment ; organe ; ligne ; ouvrage ; rocher ; tissu
vaisseau.n 104 :: navire ; monde ; futur ; système ; gouvernement ; groupe ; film ; lycée ; fleuve ; domaine
vaisseau.n 122 :: petit ; logement ; article ; moyen ; service ; organisme ; vase ; château ; corps ; rocher
vaisseau.n 190 :: véhicule ; navire ; module ; voyage ; programme ; sac ; corps ; système ; centre ; engin
vaisseau.n 193 :: artère ; cellule ; valve ; organe ; canal ; capteur ; connexion ; muscle ; élément ; anticorp
vaisseau.n 238 :: article ; joueur ; produit ; équipement ; personnage ; navire ; ouvrage ; objet ; projet ; être
vaisseau.n 256 :: dernier ; produit ; sanguin ; organe ; véhicule ; cellulaire ; capillaire ; participant ; système ; membre
vaisseau.n 270 :: navire ; bateau ; véhicule ; conteneur ; bâtiment ; engin ; paquebot ; voilier ; pétrolier ; avion
vaisseau.n 274 :: navire ; véhicule ; bateau ; module ; croiseur ; corps ; engin ; groupe ; peuple ; butin
vaseux.a 3 :: superficiel ; douteux ; cul ; plat ; facile ; bidon ; catastrophe ; vite ; grave ; léger
vaseux.a 4 :: voire ; entrer ; plat ; bof ; purement ; aller ; confus ; gros ; douteux ; gris
vaseux.a 40 :: plat ; profond ; sous-marin ; fonds ; marin ; meuble ; rocheux ; étroit ; humide ; propre
vaseux.a 53 :: meuble ; géologique ; fort ; calcaire ; organique ; humide ; extrêmement ; rocheux ; déjà ; minéral
vaseux.a 62 :: léger ; obscur ; joyeux ; légèrement ; incertain ; aqueux ; morose ; superficiel ; sombre ; politique
vaseux.a 92 :: profond ; propre ; frais ; superficiel ; navigable ; petit ; mort ; doux ; tranquille ; lointainer
vaseux.a 112 :: mal ; bouché ; mauvais ; gros ; malade ; propre ; gras ; fatiguer ; vite ; lent
vaseux.a 124 :: aller ; bon ; également ; fort ; petit ; excellent ; mauvais ; jeune ; prochain ; mieux
vaseux.a 216 :: superficiel ; plat ; creux ; douteux ; sembler ; vague ; vain ; bidon ; sale ; facile
vaseux.a 288 :: participation ; personnel ; internet ; consommation ; surprenant ; professionnel ; automatique ; promotionnel ; information ; communication
